0,1,2,3,4,5,6,7
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
2,0.99967,1.9977,2.9865,3.9929,4.9635,5.9847,6.9587
3,0.99967,1.9952,2.9567,3.9663,4.8223,5.783,6.6656
4,0.99967,1.9753,2.9334,3.8484,4.5932,5.3022,6.0553
5,0.99967,1.9562,2.8429,3.635,4.1813,4.5516,5.225
6,0.99967,1.9072,2.725,3.2863,3.6715,3.8143,4.3466
7,0.99967,1.8781,2.637,2.8545,3.1435,3.092,3.4565
8,0.99967,1.8308,2.5191,2.4635,2.6312,2.5282,2.7665
9,0.99967,1.7918,2.3696,2.128,2.1812,2.0732,2.2692
10,0.99967,1.7411,2.2393,1.8416,1.8515,1.7469,1.9271
11,0.99967,1.7104,2.1048,1.7195,1.5917,1.5286,1.5975
12,0.99635,1.6996,1.9769,1.6066,1.4397,1.3675,1.4215
13,0.99635,1.673,1.8814,1.5277,1.306,1.2828,1.3517
14,0.99635,1.6066,1.7843,1.4638,1.2346,1.2595,1.321
15,0.99635,1.5734,1.6822,1.4356,1.2463,1.262,1.2222
16,0.9897,1.5294,1.5585,1.4339,1.2272,1.223,1.2255
17,0.9897,1.492,1.5319,1.4073,1.2703,1.272,1.2405
18,0.9897,1.4879,1.4688,1.4048,1.3235,1.2728,1.2695
19,0.99635,1.4738,1.4239,1.3783,1.3982,1.3343,1.3152
20,0.99635,1.4264,1.419,1.3667,1.3359,1.3642,1.375
21,0.99635,1.3891,1.3642,1.3691,1.3417,1.3584,1.3932
22,0.99635,1.3816,1.3766,1.4048,1.3608,1.3318,1.3957
23,0.99635,1.3725,1.4015,1.448,1.3774,1.3409,1.4339
24,0.99635,1.3675,1.3841,1.4588,1.3675,1.3667,1.4422
25,0.99718,1.3924,1.3708,1.4397,1.3592,1.3376,1.4148
26,0.99718,1.3691,1.3667,1.4713,1.355,1.3343,1.4331
27,0.99718,1.3542,1.3791,1.443,1.4073,1.3393,1.4406
28,0.99718,1.3625,1.3741,1.4381,1.3999,1.3442,1.443
29,0.99469,1.3932,1.3891,1.4638,1.4024,1.3882,1.4406
30,0.99469,1.4015,1.3716,1.4912,1.4181,1.3824,1.4364
31,0.99469,1.3874,1.3683,1.4771,1.4239,1.4123,1.4273
32,0.99469,1.3584,1.3542,1.492,1.4381,1.4057,1.4239
33,0.99469,1.3359,1.3559,1.4987,1.3858,1.4264,1.4347
34,0.99469,1.316,1.3417,1.5095,1.399,1.4771,1.3874
35,0.99469,1.3019,1.3957,1.463,1.3725,1.4655,1.3965
36,0.99469,1.2944,1.3957,1.4787,1.3941,1.4895,1.3799
37,0.99469,1.2853,1.3941,1.4065,1.4048,1.463,1.4082
38,0.99469,1.2878,1.3575,1.3675,1.3799,1.4887,1.4347
39,0.99469,1.2587,1.3774,1.4464,1.3417,1.4912,1.414
40,0.99469,1.2321,1.3708,1.453,1.3127,1.443,1.4596
41,0.99469,1.2446,1.3559,1.4239,1.375,1.4555,1.4696
42,0.99469,1.2446,1.3417,1.4522,1.3982,1.4364,1.4704
43,0.99469,1.2371,1.3783,1.448,1.3534,1.4082,1.4812
44,0.99469,1.2405,1.36,1.3841,1.3741,1.4356,1.5053
45,0.99469,1.2355,1.3534,1.3575,1.3667,1.4181,1.4621
46,0.99469,1.228,1.3617,1.3384,1.3824,1.3974,1.4804
47,0.99469,1.2587,1.3567,1.3949,1.355,1.3949,1.4713
48,0.99469,1.2429,1.3426,1.4389,1.3268,1.3675,1.4364
49,0.99469,1.2986,1.36,1.4107,1.3343,1.4148,1.4389
50,0.99469,1.2803,1.3799,1.4073,1.3143,1.3899,1.4763
51,0.99469,1.321,1.3866,1.365,1.3218,1.3293,1.4613
52,0.99469,1.3052,1.4123,1.3899,1.3368,1.3484,1.4987
53,0.99469,1.2994,1.4007,1.3567,1.3318,1.3683,1.5169
54,0.99469,1.2853,1.3766,1.3691,1.4123,1.3774,1.4696
55,0.99469,1.2811,1.4107,1.4173,1.4406,1.37,1.4356
56,0.99469,1.2919,1.4057,1.4223,1.443,1.3094,1.4198
57,0.99469,1.2977,1.453,1.4107,1.4356,1.3584,1.4306
58,0.99469,1.2803,1.4264,1.3907,1.4239,1.3791,1.4837
59,0.99469,1.2562,1.3758,1.4331,1.4389,1.4073,1.4771
60,0.99469,1.2521,1.375,1.3824,1.4688,1.4455,1.5186
