0,1,2,3,4,5,6,7,8,9,10
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,9.9983
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9987,9.9909
0.5,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9937,9.9884
0.6,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9862,9.9817
0.7,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9965,8.9738,9.9718
0.8,0.99967,2.0002,2.9998,4.0003,4.9983,5.9963,7.0002,7.9957,8.9721,9.9577
0.9,0.99967,2.0002,2.9998,4.0003,4.9975,5.9955,6.9985,7.9849,8.9621,9.9344
1,0.99967,2.0002,2.9998,3.9987,5,5.9939,6.996,7.9774,8.9306,9.9203
1.1,0.99967,2.0002,2.9998,3.9987,5,5.9914,7.0002,7.9567,8.899,9.8912
1.2,0.99967,2.0002,2.9998,3.9987,4.9983,5.9872,6.9985,7.9434,8.8617,9.8414
1.3,0.99967,2.0002,2.9998,3.997,4.9975,5.9773,6.991,7.9318,8.8094,9.7916
1.4,0.99967,2.0002,2.9998,3.9912,4.9934,5.9731,6.9894,7.901,8.7488,9.7268
1.5,0.99967,2.0002,2.9998,3.992,4.9917,5.9648,6.9811,7.8736,8.7014,9.6546
1.6,0.99967,1.9985,2.9973,3.9904,4.9859,5.9507,6.9661,7.8313,8.6475,9.5774
1.7,0.99967,1.9977,2.9965,3.9879,4.9759,5.9407,6.9429,7.7923,8.5943,9.5126
1.8,0.99967,1.9977,2.9973,3.9879,4.9643,5.9233,6.9014,7.7009,8.5437,9.4138
1.9,0.99967,1.9952,2.9973,3.9804,4.946,5.9034,6.8524,7.6129,8.4748,9.3109
2,0.99967,1.9861,2.9949,3.9746,4.9269,5.8901,6.805,7.5199,8.3884,9.1672
2.1,0.99967,1.9852,2.9907,3.9596,4.9062,5.8602,6.761,7.4269,8.2838,9.0369
2.2,0.99967,1.9852,2.9882,3.9555,4.8879,5.8245,6.6896,7.275,8.1626,8.8733
2.3,0.99967,1.9852,2.9865,3.9339,4.8431,5.8029,6.6282,7.1513,8.0571,8.679
2.4,0.99967,1.9861,2.9841,3.9181,4.8041,5.7788,6.5535,7.0226,7.911,8.5204
2.5,0.99967,1.9844,2.9749,3.8866,4.7659,5.7282,6.4746,6.8889,7.7333,8.3319
2.6,0.99967,1.9844,2.9691,3.865,4.716,5.6883,6.3833,6.7378,7.6038,8.1202
2.7,0.99967,1.9794,2.9591,3.8451,4.6778,5.631,6.2629,6.6182,7.4477,7.9218
2.8,0.99967,1.9711,2.9508,3.8227,4.6147,5.5787,6.1682,6.4638,7.2866,7.7233
2.9,0.99967,1.9711,2.9484,3.7786,4.5915,5.5015,6.0271,6.3143,7.1206,7.5282
3,0.99967,1.9686,2.9384,3.7537,4.5276,5.4425,5.9225,6.1666,6.9429,7.3381
3.1,0.99967,1.9661,2.9376,3.7197,4.4645,5.3853,5.8228,6.0171,6.7519,7.1089
3.2,0.99967,1.9661,2.9367,3.674,4.4122,5.3006,5.7107,5.8552,6.595,6.8856
3.3,0.99967,1.9603,2.9293,3.645,4.3416,5.1943,5.582,5.7132,6.4206,6.6979
3.4,0.99967,1.9587,2.9218,3.6101,4.2586,5.1221,5.4675,5.5463,6.233,6.4854
3.5,0.99967,1.9587,2.9019,3.5935,4.2112,5.034,5.3504,5.4201,6.0404,6.3251
3.6,0.99967,1.9553,2.8894,3.5495,4.1407,4.9294,5.2366,5.2856,5.8834,6.1483
3.7,0.99967,1.952,2.8803,3.5096,4.0792,4.8007,5.0797,5.1245,5.7282,5.9598
3.8,0.99967,1.952,2.8603,3.4689,4.0053,4.6828,4.9269,4.9909,5.5712,5.7846
3.9,0.99635,1.9479,2.8263,3.4374,3.9397,4.5583,4.819,4.8481,5.4467,5.6161
4,0.99635,1.9479,2.7914,3.4034,3.8899,4.4611,4.692,4.7011,5.3222,5.4683
4.1,0.99635,1.9412,2.7781,3.3768,3.8168,4.3565,4.6031,4.5599,5.1901,5.2848
4.2,0.99635,1.9412,2.7499,3.3369,3.7654,4.2677,4.4744,4.4205,5.0631,5.1187
4.3,0.99635,1.9412,2.7366,3.2946,3.7089,4.1523,4.3831,4.3291,4.9494,4.9651
4.4,0.99469,1.9371,2.7258,3.2796,3.6583,4.0485,4.2444,4.1996,4.8132,4.8065
4.5,0.99469,1.9371,2.6976,3.2348,3.6018,3.9273,4.1431,4.0775,4.6679,4.6712
4.6,0.99469,1.9337,2.6669,3.2132,3.5495,3.8467,4.036,3.9846,4.5533,4.5276
4.7,0.99469,1.9337,2.647,3.175,3.4839,3.738,3.9472,3.8667,4.4138,4.3607
4.8,0.99469,1.9254,2.6179,3.131,3.4391,3.6284,3.8318,3.772,4.32,4.2419
4.9,0.99552,1.9146,2.5988,3.1069,3.3627,3.5304,3.7164,3.6624,4.1772,4.1141
5,0.99552,1.9146,2.5664,3.0638,3.3062,3.4183,3.6284,3.5902,4.0692,3.9646
5.1,0.99552,1.9122,2.5249,3.0098,3.2489,3.3245,3.5279,3.5071,3.9505,3.8467
5.2,0.99552,1.9122,2.49,2.9575,3.1866,3.2182,3.454,3.4299,3.8882,3.7413
5.3,0.99552,1.9063,2.451,2.9318,3.1402,3.1211,3.3494,3.3286,3.7861,3.6333
5.4,0.99552,1.8947,2.4203,2.8927,3.0862,3.038,3.2697,3.2597,3.6964,3.5428
5.5,0.99552,1.8798,2.3921,2.8404,3.0322,2.9409,3.2041,3.1966,3.5719,3.454
5.6,0.99386,1.8798,2.3663,2.7939,2.9857,2.8595,3.1285,3.1111,3.5046,3.3677
5.7,0.99386,1.8789,2.3389,2.7209,2.9384,2.7864,3.0463,3.0306,3.405,3.3062
5.8,0.99386,1.8673,2.3231,2.6769,2.8828,2.7142,2.9708,2.9691,3.3311,3.2057
5.9,0.99386,1.8607,2.2916,2.6528,2.8462,2.6445,2.8936,2.8819,3.2406,3.1302
