0,1,2,3,4,5,6,7,8,9,10
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9978,10
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9945,10
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9972,7.0002,7.9998,8.992,10
0.5,0.99967,2.0002,2.9998,4.0003,5,5.9939,6.996,7.9998,8.9862,9.9967
0.6,0.99967,1.9985,2.9998,4.0003,5,5.9905,6.9919,7.9998,8.9796,9.9884
0.7,0.99967,2.0002,2.9982,4.0003,5,5.9831,6.9852,7.9998,8.9613,9.9817
0.8,0.99967,2.0002,2.9973,3.9987,4.9983,5.9822,6.9852,7.9965,8.9414,9.9768
0.9,0.99967,1.9985,2.9965,3.997,5,5.9773,6.9719,7.9957,8.9256,9.9651
1,0.99967,1.9968,2.9957,3.9945,4.9983,5.9648,6.9603,7.9816,8.9015,9.9261
1.1,0.99967,1.9968,2.9965,3.9879,4.9934,5.9474,6.9329,7.96,8.8841,9.8572
1.2,0.99967,1.9985,2.9849,3.9821,4.9875,5.9316,6.8997,7.9201,8.8334,9.8041
1.3,0.99967,1.9977,2.9799,3.9721,4.9734,5.9108,6.8748,7.8728,8.782,9.7476
1.4,0.99967,1.9952,2.9749,3.9613,4.956,5.8884,6.8432,7.8205,8.6782,9.6554
1.5,0.99967,1.9927,2.9675,3.9522,4.9344,5.8519,6.8084,7.7341,8.6134,9.5516
1.6,0.99967,1.9952,2.9691,3.9406,4.9211,5.817,6.7519,7.6652,8.5354,9.4321
1.7,0.99967,1.9944,2.9583,3.9223,4.9053,5.7622,6.6996,7.5465,8.4133,9.3042
1.8,0.99967,1.9944,2.9492,3.9107,4.8887,5.7116,6.634,7.4253,8.2896,9.1606
1.9,0.99967,1.9927,2.9442,3.9007,4.8647,5.6692,6.5701,7.3016,8.1759,8.9738
2,0.99967,1.9927,2.9309,3.8774,4.8381,5.6235,6.4754,7.1504,8.0339,8.7886
2.1,0.99967,1.991,2.9234,3.8509,4.8057,5.5389,6.4132,7.0176,7.8844,8.5669
2.2,0.99967,1.991,2.9143,3.8417,4.78,5.4641,6.3334,6.8798,7.7449,8.3319
2.3,0.99967,1.991,2.9035,3.8102,4.7526,5.3836,6.2471,6.7046,7.5573,8.0812
2.4,0.99967,1.991,2.8911,3.7894,4.7219,5.3064,6.1607,6.5585,7.3406,7.8329
2.5,0.99967,1.9861,2.8828,3.7753,4.7003,5.2167,6.0428,6.3633,7.1255,7.5648
2.6,0.99967,1.9861,2.8653,3.7429,4.6812,5.1578,5.9208,6.194,6.9321,7.3041
2.7,0.99967,1.9769,2.8545,3.7288,4.648,5.0598,5.8311,6.0154,6.7087,7.055
2.8,0.99967,1.9769,2.8429,3.6948,4.6098,4.9809,5.7057,5.8261,6.4671,6.7893
2.9,0.99967,1.9769,2.828,3.6524,4.5749,4.8896,5.5895,5.6783,6.2446,6.5136
3,0.99967,1.9719,2.8022,3.6333,4.5242,4.8115,5.5023,5.5123,6.0412,6.2056
3.1,0.99967,1.9719,2.8022,3.6076,4.4753,4.6986,5.3836,5.3238,5.8004,5.9698
3.2,0.99967,1.9728,2.7765,3.5586,4.442,4.6064,5.2848,5.1661,5.6103,5.7008
3.3,0.99967,1.9728,2.7582,3.5154,4.3964,4.4902,5.171,4.9992,5.4135,5.46
3.4,0.99967,1.9728,2.7458,3.4756,4.3192,4.3997,5.0531,4.8514,5.2283,5.23
3.5,0.99967,1.9645,2.7233,3.4424,4.2743,4.3142,4.9676,4.6762,5.034,5.0017
3.6,0.99718,1.9645,2.7051,3.4017,4.2096,4.2212,4.863,4.501,4.8696,4.7891
3.7,0.99718,1.9645,2.691,3.351,4.1465,4.1307,4.7642,4.3358,4.6588,4.5724
3.8,0.99718,1.9645,2.6652,3.3095,4.0775,4.0095,4.6596,4.1614,4.5027,4.3706
3.9,0.99718,1.9553,2.6495,3.268,3.9962,3.9181,4.5682,4.007,4.3391,4.2121
4,0.99718,1.9553,2.6362,3.2248,3.948,3.8185,4.4462,3.8484,4.1689,3.9829
4.1,0.99718,1.9553,2.6154,3.1908,3.8691,3.7288,4.32,3.7238,4.0003,3.7944
4.2,0.99718,1.9553,2.5722,3.1451,3.7969,3.6342,4.2054,3.6134,3.8725,3.5902
4.3,0.99718,1.9512,2.5523,3.1011,3.7346,3.5462,4.1058,3.4773,3.7405,3.4092
4.4,0.99718,1.9512,2.5399,3.0571,3.684,3.4606,4.0045,3.3369,3.5985,3.2913
4.5,0.99718,1.9512,2.5249,3.0181,3.6126,3.3635,3.9264,3.2232,3.4723,3.1526
4.6,0.99718,1.9512,2.51,2.989,3.5511,3.3012,3.821,3.0986,3.366,2.9758
4.7,0.99718,1.9445,2.4917,2.9533,3.4681,3.224,3.7297,2.9965,3.2855,2.8396
4.8,0.99718,1.9445,2.4618,2.921,3.4083,3.1202,3.6259,2.8637,3.1584,2.7051
4.9,0.9897,1.9445,2.4444,2.8902,3.3527,3.0397,3.5329,2.7806,3.0397,2.6021
5,0.9897,1.9445,2.4311,2.862,3.2938,2.9484,3.4565,2.715,2.9467,2.4958
5.1,0.9897,1.9263,2.4161,2.8188,3.2157,2.8603,3.3884,2.6395,2.8163,2.4029
5.2,0.9897,1.9263,2.4045,2.7806,3.1302,2.8006,3.3112,2.5482,2.735,2.3082
5.3,0.9897,1.9263,2.3904,2.7424,3.0654,2.7109,3.2414,2.4618,2.6295,2.2277
5.4,0.9897,1.9263,2.3755,2.7126,2.994,2.6677,3.1534,2.3879,2.5656,2.1314
5.5,0.9897,1.9263,2.353,2.6661,2.9359,2.6096,3.0687,2.2941,2.4859,2.0467
5.6,0.9897,1.9088,2.3431,2.6229,2.8496,2.5399,2.9915,2.2144,2.4012,1.9744
5.7,0.9897,1.9088,2.324,2.6005,2.7773,2.4676,2.9085,2.1729,2.3356,1.8964
5.8,0.9897,1.9088,2.3124,2.5639,2.7217,2.407,2.8512,2.1189,2.2592,1.8615
5.9,0.9897,1.9088,2.3007,2.5349,2.6735,2.358,2.7972,2.0666,2.1953,1.8084
