0,1,2,3,4,5,6,7,8,9,10
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.5,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.6,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.7,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9978,10
0.8,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9978,9.9983
0.9,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9978,9.9983
1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9962,9.9958
1.1,0.99967,2.0002,2.9998,4.0003,5,5.998,7.0002,7.9998,8.9962,9.995
1.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,8.9912,9.9942
1.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9957,8.9862,9.9925
1.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9968,7.9924,8.9862,9.9925
1.5,0.99967,2.0002,2.9998,4.0003,5,5.998,6.9944,7.989,8.9829,9.9909
1.6,0.99967,2.0002,2.9998,4.0003,5,5.9955,6.9952,7.9849,8.9879,9.9859
1.7,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9919,7.9799,8.9804,9.9768
1.8,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9852,7.9708,8.9746,9.9668
1.9,0.99967,2.0002,2.9982,4.0003,5,5.9955,6.9852,7.9641,8.9646,9.9477
2,0.99967,2.0002,2.9982,4.0003,4.9958,5.9947,6.9827,7.9567,8.9522,9.9336
2.1,0.99967,2.0002,2.9998,4.0003,4.9942,5.9955,6.9802,7.9525,8.9372,9.9186
2.2,0.99967,2.0002,2.9998,4.0003,4.9934,5.993,6.9711,7.9517,8.9239,9.9103
2.3,0.99967,2.0002,2.9998,4.0003,4.9925,5.993,6.9661,7.9475,8.8899,9.8846
2.4,0.99967,2.0002,2.9998,4.0003,4.9875,5.993,6.957,7.9309,8.87,9.8315
2.5,0.99967,2.0002,2.9998,4.0003,4.9842,5.993,6.962,7.9226,8.8567,9.7949
2.6,0.99967,2.0002,2.9998,3.9987,4.9776,5.9897,6.9528,7.9151,8.8301,9.7451
2.7,0.99967,2.0002,2.9998,3.997,4.9801,5.988,6.9437,7.9035,8.777,9.6903
2.8,0.99967,2.0002,2.9982,3.9978,4.9759,5.9872,6.942,7.8936,8.7396,9.6421
2.9,0.99967,2.0002,2.9982,3.9987,4.9776,5.9822,6.9321,7.8686,8.7047,9.5732
3,0.99967,2.0002,2.9982,4.0003,4.9784,5.9689,6.9205,7.8388,8.6682,9.511
3.1,0.99967,2.0002,2.9998,4.0003,4.9759,5.9623,6.908,7.8047,8.6358,9.4545
3.2,0.99967,2.0002,2.9982,3.997,4.9693,5.9573,6.8814,7.7632,8.5603,9.3789
3.3,0.99967,2.0002,2.9973,3.9978,4.966,5.9582,6.8665,7.7325,8.5121,9.2901
3.4,0.99967,2.0002,2.9973,3.9978,4.9676,5.9582,6.8408,7.686,8.4399,9.2046
3.5,0.99967,2.0002,2.9957,3.992,4.9552,5.9449,6.8217,7.6553,8.3552,9.1025
3.6,0.99967,2.0002,2.9932,3.992,4.951,5.9457,6.7826,7.6154,8.2788,8.9945
3.7,0.99967,2.0002,2.9932,3.992,4.9394,5.9324,6.7436,7.5523,8.1933,8.9107
3.8,0.99967,2.0002,2.9932,3.9945,4.9369,5.9175,6.6905,7.5,8.1028,8.7977
3.9,0.99967,2.0002,2.9932,3.9929,4.917,5.9009,6.6597,7.4527,8.0106,8.7039
4,0.99967,2.0002,2.9924,3.9937,4.912,5.8901,6.6274,7.3979,7.9342,8.5769
4.1,0.99967,2.0002,2.9924,3.9879,4.9053,5.8768,6.5684,7.3605,7.8246,8.4856
4.2,0.99967,2.0002,2.9932,3.9879,4.8921,5.866,6.5344,7.2816,7.7275,8.3851
4.3,0.99967,2.0002,2.9932,3.9846,4.8937,5.8593,6.4937,7.2194,7.637,8.2871
4.4,0.99967,2.0002,2.9907,3.9804,4.8821,5.8419,6.4314,7.1571,7.5515,8.1775
4.5,0.99967,2.0002,2.9907,3.9804,4.8655,5.827,6.404,7.089,7.4601,8.0654
4.6,0.99967,2.0002,2.9882,3.9796,4.868,5.7863,6.365,7.0325,7.3298,7.9376
4.7,0.99967,2.0002,2.9882,3.9854,4.8564,5.7597,6.3285,6.9852,7.2434,7.8105
4.8,0.99967,2.0002,2.9899,3.9738,4.8481,5.7456,6.2853,6.9188,7.1596,7.6702
4.9,0.99967,2.0002,2.9899,3.9738,4.8464,5.7215,6.2463,6.8532,7.0674,7.5739
5,0.99967,2.0002,2.9799,3.9704,4.8373,5.6999,6.1865,6.7984,7.0068,7.4983
5.1,0.99967,2.0002,2.9799,3.9754,4.8373,5.6767,6.1159,6.7328,6.9122,7.402
5.2,0.99967,2.0002,2.9857,3.9754,4.824,5.6402,6.0619,6.6573,6.8142,7.3074
5.3,0.99967,2.0002,2.9857,3.9696,4.814,5.6144,6.0154,6.5834,6.7386,7.2111
5.4,0.99967,2.0002,2.9857,3.9696,4.7916,5.5895,5.964,6.5078,6.6465,7.1114
5.5,0.99967,2.0002,2.9915,3.9596,4.7659,5.5621,5.9183,6.4364,6.5759,7.0093
5.6,0.99967,2.0002,2.9915,3.9596,4.76,5.5463,5.8602,6.3708,6.4962,6.8997
5.7,0.99967,2.0002,2.9915,3.9489,4.7584,5.5139,5.8153,6.2803,6.4156,6.8034
5.8,0.99967,1.9968,2.9865,3.953,4.7401,5.5032,5.7639,6.218,6.3459,6.7162
5.9,0.99967,1.9968,2.9865,3.9381,4.7285,5.4542,5.7082,6.1358,6.2612,6.6224
6,0.99967,1.9968,2.9865,3.9381,4.7202,5.4243,5.6493,6.0844,6.1798,6.5277
