0,1,2,3,4,5,6,7,8,9,10
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,9.9975
0.5,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,9.9983
0.6,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9985,7.9998,8.9978,10
0.7,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9965,8.9962,9.9983
0.8,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.994,9.0003,9.9942
0.9,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.994,8.9987,9.99
1,0.99967,2.0002,2.9998,4.0003,4.9975,5.9997,7.0002,7.9924,8.9987,9.9875
1.1,0.99967,2.0002,2.9998,4.0003,4.9983,5.998,7.0002,7.9882,8.9945,9.9701
1.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9977,7.9841,8.9904,9.9601
1.3,0.99967,2.0002,2.9998,4.0003,4.9958,5.998,6.9977,7.9774,8.9787,9.9527
1.4,0.99967,2.0002,2.9998,4.0003,4.995,5.9972,6.9977,7.9766,8.9738,9.9261
1.5,0.99967,2.0002,2.9998,4.0003,4.995,5.9972,6.9927,7.9683,8.958,9.907
1.6,0.99967,2.0002,2.9998,3.9978,4.9892,5.9972,6.9877,7.9558,8.9472,9.8696
1.7,0.99967,2.0002,2.9973,3.9978,4.9892,5.9947,6.9827,7.9442,8.9256,9.8456
1.8,0.99967,2.0002,2.9973,3.9945,4.9859,5.9947,6.9777,7.9309,8.904,9.8207
1.9,0.99967,2.0002,2.9973,3.9945,4.9851,5.988,6.9645,7.9068,8.875,9.77
2,0.99967,2.0002,2.9982,3.9978,4.9834,5.9839,6.9562,7.8869,8.8368,9.726
2.1,0.99967,2.0002,2.9998,3.997,4.9834,5.9714,6.957,7.8786,8.7786,9.6662
2.2,0.99967,2.0002,2.9998,3.997,4.9809,5.9656,6.9512,7.8562,8.7512,9.6239
2.3,0.99967,2.0002,2.9998,3.997,4.9768,5.9532,6.9379,7.8305,8.7106,9.5541
2.4,0.99967,2.0002,2.9973,3.9954,4.9709,5.9465,6.9304,7.8022,8.6898,9.5218
2.5,0.99967,2.0002,2.9949,3.997,4.966,5.9399,6.9113,7.7632,8.6192,9.4636
2.6,0.99967,2.0002,2.9949,3.9978,4.9668,5.9341,6.8931,7.7283,8.581,9.398
2.7,0.99967,2.0002,2.9949,3.9978,4.9668,5.9233,6.874,7.7084,8.5337,9.2926
2.8,0.99967,2.0002,2.994,3.9937,4.9651,5.8926,6.8491,7.6677,8.4681,9.2154
2.9,0.99967,2.0002,2.994,3.9937,4.9643,5.8801,6.8441,7.6519,8.4058,9.1033
3,0.99967,2.0002,2.9932,3.9904,4.951,5.871,6.8192,7.5996,8.3361,8.9862
3.1,0.99967,2.0002,2.9932,3.9904,4.9502,5.8585,6.8125,7.5531,8.2439,8.8949
3.2,0.99967,2.0002,2.9932,3.9904,4.9377,5.8494,6.7934,7.51,8.126,8.8135
3.3,0.99967,1.9985,2.989,3.9904,4.9253,5.8419,6.781,7.4867,8.0397,8.6981
3.4,0.99967,1.9985,2.989,3.9854,4.9153,5.8286,6.7552,7.4228,7.9525,8.6209
3.5,0.99967,1.9985,2.989,3.9854,4.9053,5.7962,6.737,7.3514,7.867,8.5345
3.6,0.99967,1.9985,2.989,3.9738,4.8937,5.7805,6.6888,7.314,7.7615,8.4399
3.7,0.99967,1.9985,2.989,3.9738,4.8896,5.7597,6.6473,7.2526,7.6968,8.3469
3.8,0.99967,1.9985,2.9915,3.9738,4.8896,5.7423,6.6249,7.1945,7.593,8.2298
3.9,0.99967,1.9985,2.9915,3.9779,4.8829,5.7257,6.5759,7.1147,7.5033,8.1003
4,0.99967,1.9985,2.9915,3.9779,4.8788,5.7132,6.5477,7.0309,7.4037,7.9841
4.1,0.99967,1.9985,2.9915,3.9779,4.8788,5.7033,6.4937,6.9479,7.3207,7.8886
4.2,0.99967,1.9985,2.9849,3.9779,4.8796,5.685,6.4439,6.8781,7.2202,7.7898
4.3,0.99967,1.9985,2.9849,3.968,4.8796,5.6592,6.3982,6.7984,7.1081,7.6519
4.4,0.99967,1.9985,2.9849,3.968,4.8572,5.6451,6.37,6.7303,7.0218,7.5432
4.5,0.99967,1.9985,2.9849,3.968,4.8489,5.6144,6.3451,6.6506,6.9412,7.4278
4.6,0.99967,1.9985,2.9849,3.968,4.8431,5.5912,6.3135,6.5875,6.8623,7.3373
4.7,0.99967,1.9985,2.9849,3.963,4.8431,5.5621,6.2953,6.5311,6.7735,7.2152
4.8,0.99967,1.9985,2.9774,3.963,4.8215,5.5148,6.2421,6.4322,6.6863,7.1206
4.9,0.99967,1.9985,2.9774,3.963,4.8215,5.4849,6.2122,6.375,6.5925,6.9935
5,0.99967,1.9985,2.9774,3.963,4.8049,5.4666,6.1873,6.3044,6.5319,6.8897
5.1,0.99967,1.9985,2.9774,3.9497,4.7982,5.4459,6.1516,6.2238,6.4572,6.8192
5.2,0.99967,1.9985,2.9774,3.9497,4.7775,5.4201,6.1159,6.1674,6.3783,6.7046
5.3,0.99967,1.9985,2.9774,3.9497,4.7683,5.4052,6.0877,6.096,6.2795,6.5942
5.4,0.99967,1.9985,2.9774,3.9497,4.7468,5.3828,6.0354,6.0487,6.1832,6.5103
5.5,0.99967,1.9985,2.9774,3.9356,4.7302,5.3471,6.0005,5.9756,6.1084,6.4015
5.6,0.99967,1.9985,2.9791,3.9356,4.7219,5.3155,5.949,5.9058,6.0229,6.2878
5.7,0.99967,1.9985,2.9791,3.9206,4.7169,5.2989,5.9332,5.8494,5.9465,6.1815
5.8,0.99967,1.9985,2.9791,3.9206,4.6994,5.2823,5.8809,5.7838,5.8677,6.1159
5.9,0.99967,1.9985,2.9791,3.9098,4.6986,5.2665,5.8378,5.7082,5.8062,6.037
6,0.99967,1.9985,2.9791,3.9098,4.6762,5.2433,5.8153,5.6393,5.7265,5.9233
