0,1,2,3,4,5,6,7
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.5,0.99967,2.0002,2.9998,4.0003,4.9983,5.9997,6.9927
0.6,0.99967,2.0002,2.9998,3.9954,4.9925,5.9997,6.9869
0.7,0.99967,2.0002,2.9998,3.992,4.99,5.9963,6.9827
0.8,0.99967,2.0002,2.9998,3.9862,4.9859,5.9889,6.9703
0.9,0.99801,2.0002,2.9998,3.9854,4.9784,5.9822,6.9653
1,0.99801,2.0002,2.9982,3.9837,4.966,5.9698,6.9512
1.1,0.99635,1.9985,2.9973,3.9821,4.9543,5.9565,6.9396
1.2,0.99552,1.9985,2.9973,3.9754,4.9427,5.9374,6.9205
1.3,0.99552,2.0002,2.9957,3.9704,4.9319,5.92,6.9055
1.4,0.99552,2.0002,2.9907,3.9638,4.9186,5.9017,6.8881
1.5,0.99469,2.0002,2.9865,3.9547,4.8987,5.8768,6.8648
1.6,0.99469,2.0002,2.9824,3.9455,4.8713,5.8577,6.8349
1.7,0.99469,2.0002,2.9766,3.9347,4.8439,5.827,6.8009
1.8,0.9897,2.0002,2.9758,3.9281,4.8124,5.7962,6.781
1.9,0.9897,2.0002,2.9683,3.914,4.7642,5.7688,6.7361
2,0.9897,2.0002,2.9625,3.9057,4.7401,5.729,6.6955
2.1,0.9922,2.0002,2.9608,3.8949,4.6986,5.6866,6.6514
2.2,0.9922,2.0002,2.9517,3.8849,4.6704,5.6443,6.6008
2.3,0.9922,2.0002,2.9376,3.8725,4.6363,5.5912,6.5717
2.4,0.9922,2.0002,2.9376,3.8492,4.5873,5.5339,6.5169
2.5,0.99136,2.0002,2.9234,3.8351,4.5616,5.4716,6.4605
2.6,0.99136,2.0002,2.9127,3.821,4.5259,5.4243,6.4215
2.7,0.99136,2.0002,2.8985,3.7861,4.4877,5.3603,6.37
2.8,0.99136,2.0002,2.8869,3.7346,4.4454,5.2939,6.3077
2.9,0.99635,2.0002,2.8728,3.6956,4.398,5.2209,6.2429
3,0.99635,2.0002,2.862,3.6591,4.3673,5.147,6.1857
3.1,0.99635,2.0002,2.8471,3.6358,4.2984,5.0855,6.1176
3.2,0.99635,1.9944,2.8471,3.6043,4.2561,5.0299,6.0487
3.3,0.99635,1.9944,2.8329,3.557,4.217,4.9601,5.9656
3.4,0.99635,1.9944,2.8188,3.5379,4.1556,4.8954,5.8809
3.5,0.99635,1.9944,2.8122,3.5088,4.1191,4.8431,5.7879
3.6,0.99635,1.9944,2.7989,3.4922,4.0742,4.7933,5.6999
3.7,0.99635,1.9944,2.7989,3.4532,4.0369,4.7351,5.5903
3.8,0.98887,1.9894,2.7823,3.4133,3.9912,4.6679,5.5173
3.9,0.98887,1.9894,2.7649,3.3851,3.9181,4.599,5.3653
4,0.98887,1.9894,2.7408,3.3743,3.8799,4.5442,5.2682
4.1,0.98887,1.9894,2.7175,3.3577,3.8625,4.4678,5.1752
4.2,0.98887,1.9894,2.6976,3.3178,3.8177,4.4055,5.044
4.3,0.98887,1.9894,2.6727,3.2805,3.7753,4.3158,4.9527
4.4,0.98887,1.9811,2.6436,3.2373,3.7421,4.2328,4.8522
4.5,0.98887,1.9811,2.6304,3.2232,3.7031,4.1199,4.7326
4.6,0.98887,1.9811,2.6146,3.1825,3.6599,4.0477,4.6363
4.7,0.98887,1.9811,2.5947,3.1509,3.6242,3.9596,4.5251
4.8,0.98804,1.9811,2.5855,3.1036,3.5902,3.8592,4.4196
4.9,0.98804,1.9811,2.5648,3.0613,3.5528,3.7745,4.3283
5,0.98804,1.9811,2.5432,3.0081,3.5038,3.7047,4.2121
5.1,0.98804,1.9811,2.5249,2.9616,3.4698,3.6217,4.1299
5.2,0.98804,1.9811,2.51,2.9342,3.4108,3.5445,4.0269
5.3,0.98804,1.9603,2.4925,2.8761,3.3776,3.5038,3.9215
5.4,0.98804,1.9603,2.4842,2.8429,3.3427,3.4341,3.8202
5.5,0.98804,1.9603,2.4626,2.8022,3.307,3.376,3.7189
5.6,0.98804,1.9603,2.4394,2.7657,3.2755,3.3095,3.6068
5.7,0.98804,1.9603,2.4037,2.7433,3.234,3.2414,3.5113
5.8,0.98804,1.9603,2.3929,2.6976,3.2091,3.1717,3.4175
5.9,0.98804,1.9603,2.3813,2.6685,3.1526,3.1036,3.3195
6,0.98804,1.9603,2.3522,2.6403,3.1202,3.0513,3.2248
