0,1,2,3,4,5,6,7,8,9,10
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,10
0.3,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998,9.0003,9.9983
0.4,0.99967,2.0002,2.9998,4.0003,5,5.9997,6.9977,7.9998,8.9987,9.9934
0.5,0.99967,2.0002,2.9998,3.9978,5,5.9997,6.9968,7.9982,8.9962,9.9884
0.6,0.99967,2.0002,2.9998,3.9978,5,5.9997,6.9968,7.9949,8.9904,9.9801
0.7,0.99967,2.0002,2.9998,3.9962,4.9967,5.9922,6.9944,7.9932,8.9854,9.9626
0.8,0.99967,2.0002,2.9973,3.9937,4.9934,5.9856,6.991,7.9882,8.9796,9.9377
0.9,0.99967,2.0002,2.9965,3.9904,4.9801,5.9847,6.9877,7.9832,8.9638,9.9203
1,0.99967,2.0002,2.9957,3.9879,4.9734,5.9781,6.9769,7.9749,8.953,9.8696
1.1,0.99967,2.0002,2.9949,3.9804,4.9543,5.964,6.9603,7.9575,8.9248,9.8065
1.2,0.99967,2.0002,2.994,3.9738,4.9377,5.9515,6.9337,7.9351,8.8808,9.7252
1.3,0.99967,2.0002,2.9907,3.9671,4.9253,5.9308,6.8972,7.8861,8.8268,9.6297
1.4,0.99967,2.0002,2.989,3.9596,4.9103,5.9133,6.8648,7.828,8.7546,9.5267
1.5,0.99967,2.0002,2.9841,3.9547,4.8863,5.8818,6.8225,7.7275,8.6624,9.4437
1.6,0.99967,2.0002,2.9807,3.9372,4.8572,5.8552,6.766,7.6387,8.5329,9.3084
1.7,0.99967,1.9977,2.965,3.9256,4.8256,5.8079,6.6888,7.5365,8.3577,9.1589
1.8,0.99967,1.9944,2.96,3.9098,4.7883,5.7522,6.6074,7.4286,8.1925,9.0003
1.9,0.99967,1.9944,2.955,3.8841,4.7434,5.695,6.4887,7.2833,7.9675,8.8185
2,0.99801,1.9944,2.9484,3.855,4.7011,5.626,6.3633,7.1563,7.7466,8.5769
2.1,0.99801,1.9944,2.9351,3.8276,4.6504,5.5538,6.2405,6.9952,7.4884,8.3361
2.2,0.99552,1.9944,2.9268,3.7953,4.5682,5.4508,6.1242,6.8358,7.2152,8.0754
2.3,0.99552,1.996,2.9201,3.7645,4.4786,5.3745,5.9582,6.644,6.9636,7.779
2.4,0.99552,1.996,2.9052,3.7346,4.4254,5.2524,5.7938,6.4721,6.6772,7.4817
2.5,0.99469,1.9935,2.8778,3.7031,4.3208,5.1071,5.6211,6.3011,6.3949,7.1504
2.6,0.99469,1.9935,2.8637,3.6549,4.2395,4.946,5.4749,6.1084,6.1425,6.869
2.7,0.99469,1.9927,2.8421,3.6126,4.1465,4.8041,5.2914,5.9125,5.8618,6.5875
2.8,0.99469,1.9927,2.8089,3.552,4.0468,4.6803,5.0839,5.6808,5.553,6.2869
2.9,0.99053,1.991,2.7914,3.488,3.9298,4.5624,4.912,5.4608,5.2765,6.0221
3,0.99053,1.991,2.7715,3.4573,3.8152,4.4155,4.7376,5.2416,5.0208,5.7199
3.1,0.99053,1.9885,2.7383,3.4158,3.7189,4.271,4.5707,5.0423,4.7858,5.4899
3.2,0.99053,1.9885,2.7225,3.3502,3.5976,4.124,4.3964,4.8306,4.5724,5.1993
3.3,0.98638,1.9885,2.6852,3.3021,3.5046,3.9962,4.2187,4.5757,4.3756,4.9253
3.4,0.98638,1.9869,2.642,3.2489,3.4092,3.8434,4.012,4.3673,4.1581,4.6812
3.5,0.98638,1.9869,2.6262,3.2116,3.2846,3.6964,3.8559,4.1722,3.9364,4.4711
3.6,0.98638,1.9777,2.578,3.1468,3.1908,3.5594,3.689,3.9945,3.7346,4.2511
3.7,0.98223,1.9777,2.5407,3.0754,3.0986,3.4739,3.5138,3.7811,3.5345,4.0543
3.8,0.98223,1.9678,2.4967,3.0322,3.0115,3.3394,3.3751,3.6325,3.3826,3.8675
3.9,0.98223,1.9628,2.4734,2.9633,2.9409,3.2049,3.2307,3.4606,3.2224,3.7014
4,0.98223,1.9628,2.4261,2.8927,2.8446,3.0895,3.0845,3.3303,3.0687,3.5188
4.1,0.98223,1.9503,2.3796,2.8255,2.7574,2.9807,2.9484,3.1974,2.9284,3.3452
4.2,0.97808,1.9503,2.3373,2.7458,2.6611,2.8662,2.7831,3.0347,2.7732,3.2041
4.3,0.97808,1.9503,2.2933,2.6785,2.5598,2.7408,2.6544,2.8994,2.6395,3.0638
4.4,0.97808,1.9379,2.2501,2.6154,2.4892,2.6196,2.5407,2.7765,2.4992,2.9102
4.5,0.97808,1.9379,2.2094,2.5581,2.4087,2.5017,2.4402,2.6245,2.4062,2.7881
4.6,0.97808,1.9163,2.1895,2.4983,2.353,2.4053,2.3281,2.4958,2.2982,2.6677
4.7,0.96646,1.9163,2.1189,2.4352,2.2675,2.3082,2.2567,2.3954,2.1953,2.5415
4.8,0.96646,1.9022,2.0807,2.3829,2.1579,2.2094,2.1704,2.28,2.0948,2.4394
4.9,0.96646,1.9022,2.0433,2.3115,2.0741,2.084,2.0824,2.177,2.0126,2.3207
5,0.96646,1.8806,2.0151,2.2418,1.9993,2.0085,1.9777,2.0824,1.942,2.2293
5.1,0.96646,1.8806,1.962,2.1754,1.9354,1.8989,1.8897,1.9528,1.8474,2.1455
5.2,0.95566,1.8632,1.9146,2.1073,1.854,1.8241,1.8042,1.8623,1.7519,2.0442
5.3,0.95566,1.8391,1.8756,2.0525,1.7843,1.7527,1.722,1.7951,1.6871,1.9437
5.4,0.95566,1.8391,1.83,1.9761,1.7212,1.6896,1.6697,1.7054,1.6431,1.8673
5.5,0.95566,1.8092,1.7793,1.9196,1.6548,1.6066,1.6025,1.6373,1.5792,1.7851
5.6,0.95566,1.8092,1.732,1.8565,1.5925,1.5526,1.5244,1.5626,1.5186,1.7278
5.7,0.95566,1.7876,1.6863,1.8059,1.5418,1.4729,1.453,1.5086,1.4563,1.6647
5.8,0.94985,1.7652,1.6597,1.7702,1.4663,1.4389,1.3858,1.4364,1.4165,1.5958
5.9,0.94985,1.7386,1.6166,1.7195,1.4414,1.3941,1.3567,1.3882,1.3442,1.5418
