0,1,2,3,4,5,6,7
0,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.1,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.2,0.99967,2.0002,2.9998,4.0003,5,5.9997,7.0002
0.3,0.99967,2.0002,2.9982,4.0003,5,5.9997,7.0002
0.4,0.99967,2.0002,2.9982,4.0003,5,5.998,6.996
0.5,0.99967,2.0002,2.9973,3.9987,4.9958,5.9897,6.9811
0.6,0.99967,2.0002,2.9965,3.9987,4.9925,5.9781,6.9761
0.7,0.99967,2.0002,2.994,3.997,4.9801,5.9689,6.9611
0.8,0.99967,2.0002,2.9849,3.9904,4.9601,5.9407,6.9246
0.9,0.99967,2.0002,2.9841,3.9804,4.9369,5.9083,6.8706
1,0.99967,1.9935,2.9766,3.9696,4.9004,5.8685,6.8059
1.1,0.99967,1.9919,2.9683,3.9513,4.8647,5.7913,6.732
1.2,0.99967,1.9902,2.9608,3.9281,4.8298,5.7157,6.6523
1.3,0.99967,1.9877,2.9525,3.9032,4.7858,5.646,6.5543
1.4,0.99967,1.9819,2.945,3.87,4.721,5.5355,6.4173
1.5,0.99967,1.9819,2.9201,3.8417,4.6787,5.4226,6.267
1.6,0.99967,1.9794,2.9044,3.8019,4.6048,5.2864,6.1068
1.7,0.99967,1.9686,2.8861,3.7463,4.535,5.1395,5.9432
1.8,0.99635,1.9661,2.8761,3.7006,4.4587,4.9684,5.7406
1.9,0.99635,1.9545,2.8471,3.635,4.3731,4.8339,5.4998
2,0.99635,1.9495,2.8354,3.5686,4.2818,4.6787,5.2815
2.1,0.99053,1.9412,2.7923,3.4897,4.1938,4.5193,5.088
2.2,0.99053,1.9412,2.7566,3.42,4.0701,4.3482,4.8829
2.3,0.99053,1.9296,2.7408,3.3444,3.9663,4.1805,4.6347
2.4,0.99053,1.9188,2.6976,3.2597,3.826,4.0061,4.4196
2.5,0.98804,1.9047,2.6453,3.1617,3.6998,3.8542,4.178
2.6,0.98804,1.9047,2.6245,3.0654,3.5603,3.684,3.9713
2.7,0.98804,1.898,2.5722,2.9492,3.4141,3.5013,3.723
2.8,0.98804,1.8848,2.5316,2.8678,3.273,3.3203,3.4689
2.9,0.98804,1.8848,2.4884,2.7856,3.136,3.1617,3.3045
3,0.98389,1.8673,2.4269,2.6827,3.0364,3.0148,3.1211
3.1,0.98389,1.8399,2.4095,2.5756,2.8761,2.8952,2.9492
3.2,0.98389,1.8399,2.3613,2.49,2.7557,2.7275,2.7773
3.3,0.98389,1.8117,2.3207,2.3871,2.637,2.5947,2.6096
3.4,0.98389,1.7884,2.2767,2.3165,2.5008,2.4958,2.4369
3.5,0.96978,1.7884,2.2169,2.2268,2.3514,2.363,2.2941
3.6,0.96978,1.7652,2.1687,2.1679,2.2385,2.265,2.1671
3.7,0.96978,1.7395,2.138,2.0932,2.1604,2.1397,2.0276
3.8,0.96978,1.7162,2.0948,2.0093,2.0375,2.0475,1.9105
3.9,0.96978,1.6938,2.05,1.9445,1.9321,1.9346,1.8192
4,0.95234,1.6647,1.9902,1.8623,1.8283,1.8491,1.7129
4.1,0.95234,1.6473,1.9462,1.7934,1.7469,1.7793,1.6307
4.2,0.95234,1.6299,1.9039,1.7303,1.6647,1.693,1.5053
4.3,0.95234,1.6108,1.859,1.6722,1.6,1.5908,1.4397
4.4,0.95234,1.5875,1.8225,1.6166,1.5418,1.5003,1.3683
4.5,0.95234,1.5751,1.7785,1.5842,1.4771,1.4298,1.2944
4.6,0.93075,1.5518,1.7154,1.5186,1.4132,1.3617,1.2371
4.7,0.93075,1.5269,1.6697,1.4671,1.35,1.2994,1.1832
4.8,0.93075,1.5045,1.6382,1.4223,1.2953,1.2537,1.1226
4.9,0.93075,1.492,1.5983,1.3559,1.2346,1.1898,1.0578
5,0.91747,1.4754,1.5568,1.3168,1.1906,1.14,1.0279
5.1,0.91747,1.4621,1.5277,1.2869,1.1375,1.0819,0.99053
5.2,0.91747,1.4422,1.5003,1.2529,1.0893,1.0387,0.94819
5.3,0.91747,1.4289,1.4613,1.2247,1.0462,0.99635,0.91498
5.4,0.90003,1.4107,1.4215,1.1881,1.0013,0.94487,0.89505
5.5,0.90003,1.3974,1.3866,1.1657,0.98555,0.91332,0.8635
5.6,0.90003,1.375,1.3376,1.1425,0.96729,0.89505,0.83859
5.7,0.90003,1.3625,1.3185,1.1093,0.93158,0.86931,0.80621
5.8,0.90003,1.3476,1.2911,1.0744,0.89588,0.84689,0.77798
5.9,0.90003,1.3235,1.2662,1.0487,0.88343,0.79708,0.76636
6,0.90003,1.3094,1.2446,1.0163,0.87595,0.79044,0.74145
