time,len
Nucleation,207.000000
Nucleation,193.000000
Nucleation,160.000000
Nucleation,209.000000
Nucleation,211.000000
Nucleation,219.000000
Nucleation,176.000000
Nucleation,167.000000
Nucleation,153.000000
Nucleation,158.000000
Nucleation,144.000000
Nucleation,115.000000
Nucleation,117.000000
Nucleation,111.000000
Nucleation,132.000000
Nucleation,151.000000
Nucleation,130.000000
Nucleation,109.000000
Nucleation,113.000000
Nucleation,101.000000
Nucleation,80.000000
Nucleation,82.000000
Nucleation,55.000000
Nucleation,44.000000
Nucleation,23.000000
Steady State,212.000000
Steady State,192.000000
Steady State,158.000000
Steady State,206.000000
Steady State,218.000000
Steady State,228.000000
Steady State,182.000000
Steady State,181.000000
Steady State,157.000000
Steady State,159.000000
Steady State,146.000000
Steady State,132.000000
Steady State,123.000000
Steady State,112.000000
Steady State,124.000000
Steady State,163.000000
Steady State,124.000000
Steady State,119.000000
Steady State,124.000000
Steady State,110.000000
Steady State,88.000000
Steady State,87.000000
Steady State,70.000000
Steady State,41.000000
Steady State,41.000000
Nucleation,178.000000
Nucleation,226.000000
Nucleation,195.000000
Nucleation,211.000000
Nucleation,175.000000
Nucleation,181.000000
Nucleation,175.000000
Nucleation,179.000000
Nucleation,151.000000
Nucleation,153.000000
Nucleation,154.000000
Nucleation,140.000000
Nucleation,127.000000
Nucleation,114.000000
Nucleation,135.000000
Nucleation,132.000000
Nucleation,109.000000
Nucleation,102.000000
Nucleation,91.000000
Nucleation,86.000000
Nucleation,77.000000
Nucleation,98.000000
Nucleation,65.000000
Nucleation,43.000000
Nucleation,48.000000
Nucleation,31.000000
Nucleation,18.000000
Steady State,172.000000
Steady State,221.000000
Steady State,213.000000
Steady State,206.000000
Steady State,184.000000
Steady State,200.000000
Steady State,185.000000
Steady State,174.000000
Steady State,154.000000
Steady State,174.000000
Steady State,151.000000
Steady State,146.000000
Steady State,138.000000
Steady State,113.000000
Steady State,144.000000
Steady State,124.000000
Steady State,131.000000
Steady State,119.000000
Steady State,90.000000
Steady State,84.000000
Steady State,70.000000
Steady State,95.000000
Steady State,59.000000
Steady State,35.000000
Steady State,58.000000
Steady State,45.000000
Steady State,10.000000
Nucleation,249.000000
Nucleation,186.000000
Nucleation,207.000000
Nucleation,202.000000
Nucleation,181.000000
Nucleation,177.000000
Nucleation,178.000000
Nucleation,140.000000
Nucleation,149.000000
Nucleation,150.000000
Nucleation,148.000000
Nucleation,144.000000
Nucleation,144.000000
Nucleation,160.000000
Nucleation,127.000000
Nucleation,100.000000
Nucleation,92.000000
Nucleation,91.000000
Nucleation,83.000000
Nucleation,81.000000
Nucleation,71.000000
Nucleation,59.000000
Nucleation,54.000000
Nucleation,34.000000
Nucleation,58.000000
Nucleation,39.000000
Nucleation,38.000000
Nucleation,17.000000
Nucleation,24.000000
Steady State,246.000000
Steady State,196.000000
Steady State,219.000000
Steady State,220.000000
Steady State,176.000000
Steady State,166.000000
Steady State,179.000000
Steady State,159.000000
Steady State,151.000000
Steady State,157.000000
Steady State,144.000000
Steady State,139.000000
Steady State,131.000000
Steady State,172.000000
Steady State,132.000000
Steady State,103.000000
Steady State,100.000000
Steady State,104.000000
Steady State,85.000000
Steady State,91.000000
Steady State,70.000000
Steady State,69.000000
Steady State,48.000000
Steady State,37.000000
Steady State,64.000000
Steady State,56.000000
Steady State,38.000000
Steady State,21.000000
Steady State,29.000000
Nucleation,221.000000
Nucleation,258.000000
Nucleation,233.000000
Nucleation,180.000000
Nucleation,175.000000
Nucleation,196.000000
Nucleation,181.000000
Nucleation,182.000000
Nucleation,162.000000
Nucleation,170.000000
Nucleation,133.000000
Nucleation,131.000000
Nucleation,162.000000
Nucleation,149.000000
Nucleation,154.000000
Nucleation,129.000000
Nucleation,125.000000
Nucleation,105.000000
Nucleation,75.000000
Nucleation,103.000000
Nucleation,84.000000
Nucleation,19.000000
Steady State,219.000000
Steady State,249.000000
Steady State,229.000000
Steady State,187.000000
Steady State,195.000000
Steady State,218.000000
Steady State,192.000000
Steady State,184.000000
Steady State,181.000000
Steady State,175.000000
Steady State,146.000000
Steady State,127.000000
Steady State,165.000000
Steady State,156.000000
Steady State,169.000000
Steady State,157.000000
Steady State,124.000000
Steady State,129.000000
Steady State,78.000000
Steady State,108.000000
Steady State,86.000000
Steady State,18.000000
Nucleation,160.000000
Nucleation,159.000000
Nucleation,209.000000
Nucleation,186.000000
Nucleation,204.000000
Nucleation,156.000000
Nucleation,160.000000
Nucleation,158.000000
Nucleation,144.000000
Nucleation,135.000000
Nucleation,137.000000
Nucleation,130.000000
Nucleation,147.000000
Nucleation,129.000000
Nucleation,129.000000
Nucleation,107.000000
Nucleation,107.000000
Nucleation,109.000000
Nucleation,78.000000
Nucleation,95.000000
Nucleation,101.000000
Nucleation,105.000000
Nucleation,62.000000
Nucleation,52.000000
Nucleation,90.000000
Nucleation,59.000000
Nucleation,34.000000
Nucleation,37.000000
Nucleation,15.000000
Nucleation,12.000000
Nucleation,2.000000
Steady State,173.000000
Steady State,159.000000
Steady State,215.000000
Steady State,195.000000
Steady State,196.000000
Steady State,151.000000
Steady State,176.000000
Steady State,165.000000
Steady State,149.000000
Steady State,128.000000
Steady State,151.000000
Steady State,137.000000
Steady State,156.000000
Steady State,131.000000
Steady State,126.000000
Steady State,95.000000
Steady State,107.000000
Steady State,131.000000
Steady State,92.000000
Steady State,93.000000
Steady State,104.000000
Steady State,102.000000
Steady State,67.000000
Steady State,52.000000
Steady State,90.000000
Steady State,64.000000
Steady State,31.000000
Steady State,49.000000
