cap,bottom,center,top
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-2.419925,-0.806642,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,4.033208,2.419925,0.000000
0.000000,-3.226566,-1.613283,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,1.613283,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.806642,-0.806642
0.000000,0.000000,0.000000,-0.806642
0.000000,-0.806642,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,1.613283,0.806642,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.806642,0.000000,-0.806642
0.000000,1.613283,0.806642,0.000000
0.000000,-2.419925,-1.613283,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-3.226566,-1.613283,0.806642
0.000000,0.806642,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-2.419925,-1.613283,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,2.419925,0.806642,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,0.000000,0.806642
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,2.419925,0.806642,0.000000
0.000000,-0.806642,-0.806642,-0.806642
0.000000,0.806642,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-2.419925,-1.613283,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,1.613283,0.000000,-1.613283
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.806642,0.806642,1.613283
0.000000,-1.613283,-0.806642,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,2.419925,0.806642,0.000000
0.000000,0.806642,0.806642,0.806642
0.000000,0.806642,0.000000,0.000000
0.000000,1.613283,0.806642,0.000000
0.000000,0.806642,0.000000,-0.806642
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,-2.419925,-0.806642,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.806642,0.806642,0.806642
0.000000,2.419925,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,0.000000,0.806642,0.806642
0.000000,-1.613283,-0.806642,0.000000
0.000000,1.613283,1.613283,0.806642
0.000000,0.000000,0.000000,0.806642
0.000000,-0.806642,0.000000,0.806642
0.000000,-0.806642,-0.806642,0.000000
0.000000,-2.419925,-0.806642,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-1.613283,-0.806642
0.000000,-1.613283,-0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,0.000000,0.000000,-0.806642
0.000000,0.806642,0.000000,0.000000
0.000000,-0.806642,-0.806642,-0.806642
0.000000,0.000000,0.806642,0.806642
0.000000,1.613283,0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,2.419925,0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,0.806642,0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.000000,0.000000
0.000000,2.419925,0.806642,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.806642,0.806642,0.806642
0.000000,0.806642,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,-0.806642
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,-1.613283,-0.806642,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,1.613283,0.000000,-0.806642
0.000000,0.000000,0.806642,0.806642
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,0.000000,0.806642
0.000000,1.613283,0.806642,0.000000
0.000000,-0.806642,0.000000,0.000000
0.000000,-0.806642,0.000000,0.806642
0.000000,0.000000,0.000000,0.000000
0.000000,-0.806642,-0.806642,0.000000
0.000000,2.419925,0.806642,-0.806642
0.000000,-2.419925,-1.613283,0.000000
