cap,bottom,center,top
0.500000,0.000000,2.999875,5.999751
0.500000,0.000000,3.699846,7.399693
0.500000,0.000000,3.099871,6.199743
0.500000,0.000000,3.399859,6.799718
0.500000,11.999502,1.799925,-8.399651
0.500000,12.399485,8.999626,5.599767
0.500000,0.000000,2.599892,5.199784
0.500000,0.000000,2.999875,5.999751
0.500000,0.000000,2.699888,5.399776
0.500000,0.000000,3.599850,7.199701
0.500000,0.000000,3.699846,7.399693
0.500000,0.000000,3.399859,6.799718
0.500000,0.000000,2.699888,5.399776
0.500000,0.000000,3.099871,6.199743
0.500000,0.000000,3.099871,6.199743
0.500000,0.000000,1.099954,2.199909
0.500000,0.000000,2.899880,5.799759
0.500000,0.000000,3.699846,7.399693
0.500000,8.199659,6.799718,5.399776
0.500000,0.000000,3.199867,6.399734
0.500000,0.000000,2.099913,4.199826
0.500000,0.000000,3.199867,6.399734
0.500000,11.199535,8.999626,6.799718
0.500000,0.000000,2.499896,4.999792
0.500000,0.000000,1.199950,2.399900
0.500000,0.000000,3.399859,6.799718
0.500000,9.799593,8.999626,8.199659
0.500000,8.999626,7.199701,5.399776
0.500000,7.399693,7.099705,6.799718
0.500000,0.000000,2.699888,5.399776
0.500000,0.000000,1.999917,3.999834
0.500000,0.000000,3.199867,6.399734
0.500000,0.000000,3.399859,6.799718
0.500000,0.000000,2.299904,4.599809
0.500000,0.000000,0.399983,0.799967
0.500000,0.000000,3.199867,6.399734
0.500000,0.000000,3.199867,6.399734
0.500000,0.000000,2.999875,5.999751
0.500000,0.000000,3.099871,6.199743
0.500000,0.000000,3.899838,7.799676
0.500000,0.000000,-0.199992,-0.399983
0.500000,0.000000,2.499896,4.999792
0.500000,0.000000,2.899880,5.799759
0.500000,0.000000,1.299946,2.599892
0.500000,0.000000,-5.399776,-10.799551
0.500000,0.000000,1.299946,2.599892
0.500000,0.000000,-0.499979,-0.999958
0.500000,10.799551,6.599726,2.399900
0.500000,0.000000,1.799925,3.599850
0.500000,6.999709,7.099705,7.199701
0.500000,0.000000,2.799884,5.599767
0.500000,11.199535,7.899672,4.599809
0.500000,0.000000,1.699929,3.399859
0.500000,0.000000,-0.699971,-1.399942
0.500000,0.000000,6.199743,12.399485
0.500000,0.000000,2.199909,4.399817
0.500000,8.399651,5.999751,3.599850
0.500000,0.000000,0.899963,1.799925
0.500000,8.799635,4.399817,0.000000
0.500000,0.000000,-3.099871,-6.199743
0.500000,0.000000,0.999958,1.999917
0.500000,0.000000,0.499979,0.999958
0.500000,0.000000,-1.099954,-2.199909
0.500000,0.000000,2.999875,5.999751
0.500000,1.599934,4.199826,6.799718
0.500000,14.999377,10.099581,5.199784
0.500000,0.000000,-0.299988,-0.599975
0.500000,0.000000,2.599892,5.199784
0.500000,8.999626,6.499730,3.999834
0.500000,0.000000,0.299988,0.599975
0.500000,5.199784,3.399859,1.599934
0.500000,6.599726,4.199826,1.799925
0.500000,5.399776,-6.299738,-17.999252
0.500000,9.399610,4.999792,0.599975
0.500000,0.000000,0.399983,0.799967
0.500000,7.799676,-4.199826,-16.199327
0.500000,2.799884,1.499938,0.199992
0.500000,3.599850,-0.899963,-5.399776
0.500000,0.000000,3.396539,6.793078
0.500000,0.000000,3.596336,7.192671
0.500000,0.000000,2.897048,5.794096
0.500000,0.000000,-0.399593,-0.799186
0.500000,0.000000,2.497455,4.994911
0.500000,0.000000,3.596336,7.192671
0.500000,0.000000,3.096845,6.193689
0.500000,0.000000,1.898066,3.796132
0.500000,8.591246,6.193689,3.796132
0.500000,0.599389,1.398575,2.197761
0.500000,0.000000,3.096845,6.193689
0.500000,0.000000,2.097862,4.195725
0.500000,0.000000,3.396539,6.793078
0.500000,0.000000,3.196743,6.393486
0.500000,0.000000,2.697252,5.394503
0.500000,0.000000,2.697252,5.394503
0.500000,8.591246,7.192671,5.794096
0.500000,0.000000,3.896030,7.792061
0.500000,0.000000,2.897048,5.794096
0.500000,0.000000,3.796132,7.592264
0.500000,4.994911,4.595318,4.195725
0.500000,0.000000,1.898066,3.796132
0.500000,0.000000,0.799186,1.598371
0.500000,0.000000,3.196743,6.393486
0.500000,0.000000,2.697252,5.394503
0.500000,0.000000,2.097862,4.195725
0.500000,0.000000,3.296641,6.593282
0.500000,0.000000,2.797150,5.594300
0.500000,0.000000,3.396539,6.793078
0.500000,0.000000,4.195725,8.391450
0.500000,0.000000,1.098880,2.197761
0.500000,2.797150,5.394503,7.991857
0.500000,0.000000,3.196743,6.393486
0.500000,0.000000,2.797150,5.594300
0.500000,0.000000,1.498473,2.996946
0.500000,0.000000,-0.699287,-1.398575
0.500000,1.598371,3.296641,4.994911
0.500000,0.000000,4.395521,8.791043
0.500000,0.000000,3.096845,6.193689
0.500000,0.000000,2.897048,5.794096
0.500000,0.000000,2.597354,5.194707
0.500000,2.797150,2.197761,1.598371
0.500000,9.989821,7.991857,5.993893
0.500000,0.000000,3.296641,6.593282
0.500000,5.194707,4.595318,3.995928
0.500000,0.000000,1.798168,3.596336
0.500000,0.000000,2.697252,5.394503
0.500000,9.790025,7.792061,5.794096
0.500000,0.000000,4.495420,8.990839
0.500000,0.000000,2.697252,5.394503
0.500000,5.594300,6.293587,6.992875
0.500000,10.589211,0.199796,-10.189618
0.500000,10.988803,7.392468,3.796132
0.500000,2.397557,1.098880,-0.199796
0.500000,6.793078,4.795114,2.797150
0.500000,0.000000,1.198779,2.397557
0.500000,11.987785,8.691144,5.394503
0.500000,0.000000,-0.399593,-0.799186
0.500000,12.187582,6.193689,0.199796
0.500000,0.000000,0.299695,0.599389
0.500000,0.000000,-1.298677,-2.597354
0.500000,0.000000,-0.699287,-1.398575
0.500000,0.000000,-0.499491,-0.998982
0.500000,8.591246,6.293587,3.995928
0.500000,13.985750,4.994911,-3.995928
0.500000,4.994911,-26.473026,-57.940963
0.500000,7.592264,3.796132,0.000000
0.500000,0.000000,0.998982,1.997964
0.500000,-0.399593,-0.699287,-0.998982
0.500000,1.997964,3.196743,4.395521
0.500000,9.989821,9.190636,8.391450
0.500000,0.000000,-1.098880,-2.197761
0.500000,7.991857,4.595318,1.198779
0.500000,6.992875,-4.695216,-16.383307
0.500000,4.195725,1.698270,-0.799186
0.500000,7.192671,1.997964,-3.196743
0.500000,5.993893,3.096845,0.199796
0.500000,7.991857,5.594300,3.196743
0.500000,0.000000,2.702303,5.404607
0.500000,0.000000,3.703156,7.406313
0.500000,0.000000,3.102645,6.205289
0.500000,5.404607,5.504692,5.604777
0.500000,0.000000,3.803242,7.606483
0.500000,0.000000,3.002559,6.005119
0.500000,0.000000,3.703156,7.406313
0.500000,0.000000,2.402047,4.804095
0.500000,0.000000,2.001706,4.003412
0.500000,0.000000,3.302815,6.605630
0.500000,0.000000,3.202730,6.405460
0.500000,0.000000,3.603071,7.206142
0.500000,5.604777,2.902474,0.200171
0.500000,0.000000,3.903327,7.806654
0.500000,0.000000,3.603071,7.206142
0.500000,0.000000,2.001706,4.003412
0.500000,0.000000,1.501280,3.002559
0.500000,0.000000,2.702303,5.404607
0.500000,0.000000,2.702303,5.404607
0.500000,0.000000,3.502986,7.005972
0.500000,0.000000,3.002559,6.005119
0.500000,0.000000,3.202730,6.405460
0.500000,0.000000,3.302815,6.605630
0.500000,0.000000,3.202730,6.405460
0.500000,0.000000,3.102645,6.205289
0.500000,0.000000,3.402901,6.805801
0.500000,0.000000,3.803242,7.606483
0.500000,0.000000,4.303668,8.607337
0.500000,0.000000,4.103498,8.206995
0.500000,0.000000,3.302815,6.605630
0.500000,0.000000,3.202730,6.405460
0.500000,0.000000,3.002559,6.005119
0.500000,0.000000,3.603071,7.206142
0.500000,0.000000,-12.210408,-24.420815
0.500000,0.000000,2.602218,5.204436
0.500000,0.000000,2.001706,4.003412
0.500000,0.000000,3.002559,6.005119
0.500000,10.208702,8.507251,6.805801
0.500000,0.000000,3.302815,6.605630
0.500000,0.000000,2.702303,5.404607
0.500000,0.000000,0.900768,1.801536
0.500000,8.807507,7.106057,5.404607
0.500000,5.004265,5.704863,6.405460
0.500000,0.000000,2.502133,5.004265
0.500000,0.000000,2.201877,4.403754
0.500000,0.000000,2.602218,5.204436
0.500000,1.401194,3.803242,6.205289
0.500000,0.000000,2.802389,5.604777
0.500000,0.000000,3.102645,6.205289
0.500000,10.609043,9.608190,8.607337
0.500000,14.412284,8.707422,3.002559
0.500000,0.000000,2.802389,5.604777
0.500000,0.000000,2.402047,4.804095
0.500000,10.809213,7.306228,3.803242
0.500000,0.000000,2.702303,5.404607
0.500000,0.000000,-0.700597,-1.401194
0.500000,0.000000,0.400341,0.800682
0.500000,6.005119,10.008531,14.011943
0.500000,2.602218,-1.601365,-5.804948
0.500000,1.000853,4.303668,7.606483
0.500000,0.000000,2.802389,5.604777
0.500000,13.611602,9.307934,5.004265
0.500000,0.000000,0.300256,0.600512
0.500000,7.206142,2.902474,-1.401194
0.500000,13.011090,8.307081,3.603071
0.500000,0.000000,-1.201024,-2.402047
0.500000,4.003412,2.402047,0.800682
0.500000,12.210408,4.503839,-3.202730
0.500000,0.000000,1.301109,2.602218
0.500000,11.009384,-7.406313,-25.822010
0.500000,9.007678,5.204436,1.401194
0.500000,0.000000,-0.100085,-0.200171
0.500000,1.201024,1.501280,1.801536
0.500000,10.208702,4.403754,-1.401194
0.500000,10.609043,5.504692,0.400341
0.500000,5.004265,5.704863,6.405460
0.500000,3.202730,1.801536,0.400341
0.500000,8.607337,5.204436,1.801536
0.500000,0.000000,0.200171,0.400341
0.500000,0.000000,0.700597,1.401194
0.500000,3.402901,3.002559,2.602218
