cap,bottom,center,top
0.100000,7.970713,3.985357,0.000000
0.100000,5.479865,4.234441,2.989018
0.100000,11.956070,9.465222,6.974374
0.100000,6.974374,5.230781,3.487187
0.100000,7.970713,7.970713,7.970713
0.100000,7.970713,6.725289,5.479865
0.100000,4.483526,4.981696,5.479865
0.100000,4.483526,5.978035,7.472544
0.100000,-1.494509,0.996339,3.487187
0.100000,9.963392,7.472544,4.981696
0.100000,4.483526,3.736272,2.989018
0.100000,10.461561,7.721629,4.981696
0.100000,7.472544,7.472544,7.472544
0.100000,10.959731,9.216137,7.472544
0.100000,0.000000,3.985357,7.970713
0.100000,6.974374,6.974374,6.974374
0.100000,0.000000,4.483526,8.967053
0.100000,5.978035,6.227120,6.476205
0.100000,8.967053,7.223459,5.479865
0.100000,1.992678,2.241763,2.490848
0.100000,3.487187,5.978035,8.468883
0.100000,4.981696,5.728950,6.476205
0.100000,7.472544,3.985357,0.498170
0.100000,4.981696,5.978035,6.974374
0.100000,5.479865,5.728950,5.978035
0.100000,1.494509,3.985357,6.476205
0.100000,5.978035,4.483526,2.989018
0.100000,3.985357,5.728950,7.472544
0.100000,9.465222,7.223459,4.981696
0.100000,0.000000,3.985357,7.970713
0.100000,4.483526,5.728950,6.974374
0.100000,-2.989018,0.249085,3.487187
0.100000,3.985357,6.227120,8.468883
0.100000,3.985357,4.483526,4.981696
0.100000,4.981696,3.736272,2.490848
0.100000,11.956070,6.725289,1.494509
0.100000,9.465222,5.728950,1.992678
0.100000,-0.996339,2.490848,5.978035
0.100000,12.454240,10.959731,9.465222
0.100000,-3.487187,2.241763,7.970713
0.100000,0.000000,2.490848,4.981696
0.100000,5.479865,5.230781,4.981696
0.100000,2.490848,4.234441,5.978035
0.100000,1.494509,2.241763,2.989018
0.100000,3.985357,4.981696,5.978035
0.100000,2.490848,4.234441,5.978035
0.100000,7.472544,6.227120,4.981696
0.100000,5.978035,4.234441,2.490848
0.100000,8.967053,7.472544,5.978035
0.100000,8.468883,6.476205,4.483526
0.100000,-3.985357,1.245424,6.476205
0.100000,7.472544,3.736272,0.000000
0.100000,0.000000,0.000000,0.000000
0.100000,3.487187,5.978035,8.468883
0.100000,8.468883,6.974374,5.479865
0.100000,4.483526,5.479865,6.476205
0.100000,-0.996339,1.494509,3.985357
0.100000,8.967053,8.717968,8.468883
0.100000,5.978035,6.227120,6.476205
0.100000,11.956070,5.978035,0.000000
0.100000,1.992678,5.479865,8.967053
0.100000,4.981696,4.732611,4.483526
0.100000,11.956070,8.717968,5.479865
0.100000,6.974374,8.717968,10.461561
0.100000,9.465222,5.230781,0.996339
0.100000,4.483526,4.483526,4.483526
0.100000,1.992678,2.490848,2.989018
0.100000,0.996339,3.238102,5.479865
0.100000,8.967053,6.974374,4.981696
0.100000,4.483526,5.230781,5.978035
0.100000,6.974374,4.732611,2.490848
0.100000,4.483526,2.490848,0.498170
0.100000,3.487187,2.739933,1.992678
0.100000,6.476205,5.230781,3.985357
0.100000,2.989018,4.732611,6.476205
0.100000,4.981696,3.985357,2.989018
0.100000,13.948748,8.967053,3.985357
0.100000,4.483526,5.728950,6.974374
0.100000,-6.974374,0.000000,6.974374
0.100000,6.476205,5.479865,4.483526
0.100000,7.472544,4.234441,0.996339
0.100000,10.959731,6.227120,1.494509
0.100000,6.476205,3.238102,0.000000
0.100000,10.552824,8.040247,5.527670
0.100000,14.572947,11.557854,8.542762
0.100000,0.000000,0.000000,0.000000
0.100000,12.060370,7.537731,3.015092
0.100000,0.502515,4.522639,8.542762
0.100000,6.532700,5.778927,5.025154
0.100000,2.010062,4.020123,6.030185
0.100000,6.030185,4.773896,3.517608
0.100000,6.030185,5.778927,5.527670
0.100000,14.070431,8.040247,2.010062
0.100000,8.040247,7.286473,6.532700
0.100000,9.547793,7.286473,5.025154
0.100000,4.020123,3.768866,3.517608
0.100000,10.050308,8.040247,6.030185
0.100000,7.035216,5.778927,4.522639
0.100000,0.000000,2.763835,5.527670
0.100000,7.035216,6.281443,5.527670
0.100000,5.025154,4.522639,4.020123
0.100000,1.005031,2.763835,4.522639
0.100000,6.030185,6.532700,7.035216
0.100000,2.512577,4.773896,7.035216
0.100000,11.055339,10.050308,9.045277
0.100000,11.557854,10.301566,9.045277
0.100000,2.010062,5.276412,8.542762
0.100000,5.527670,5.276412,5.025154
0.100000,8.542762,7.286473,6.030185
0.100000,13.567916,10.552824,7.537731
0.100000,5.025154,6.783958,8.542762
0.100000,11.055339,9.296535,7.537731
0.100000,9.547793,4.773896,0.000000
0.100000,6.030185,6.030185,6.030185
0.100000,6.030185,6.532700,7.035216
0.100000,0.000000,2.763835,5.527670
0.100000,9.045277,9.045277,9.045277
0.100000,10.552824,7.035216,3.517608
0.100000,4.522639,5.778927,7.035216
0.100000,4.020123,5.778927,7.537731
0.100000,4.020123,3.517608,3.015092
0.100000,1.005031,4.271381,7.537731
0.100000,3.015092,4.020123,5.025154
0.100000,0.000000,1.758804,3.517608
0.100000,0.000000,4.020123,8.040247
0.100000,13.567916,10.804081,8.040247
0.100000,8.542762,8.794020,9.045277
0.100000,-3.517608,0.753773,5.025154
0.100000,5.025154,5.527670,6.030185
0.100000,7.537731,6.532700,5.527670
0.100000,9.045277,8.040247,7.035216
0.100000,4.020123,3.266350,2.512577
0.100000,5.527670,4.020123,2.512577
0.100000,5.025154,4.773896,4.522639
0.100000,6.030185,5.276412,4.522639
0.100000,0.502515,2.763835,5.025154
0.100000,0.000000,2.763835,5.527670
0.100000,10.552824,8.794020,7.035216
0.100000,10.552824,7.788989,5.025154
0.100000,6.532700,5.025154,3.517608
0.100000,0.000000,5.778927,11.557854
0.100000,4.522639,4.271381,4.020123
0.100000,4.020123,3.015092,2.010062
0.100000,7.035216,5.025154,3.015092
0.100000,1.507546,4.020123,6.532700
0.100000,-6.532700,-1.256289,4.020123
0.100000,3.517608,5.527670,7.537731
0.100000,1.507546,3.517608,5.527670
0.100000,4.522639,2.512577,0.502515
0.100000,5.527670,5.527670,5.527670
0.100000,-0.502515,3.015092,6.532700
0.100000,8.542762,5.527670,2.512577
0.100000,-2.010062,-0.251258,1.507546
0.100000,0.000000,1.005031,2.010062
0.100000,8.040247,7.537731,7.035216
0.100000,5.025154,2.512577,0.000000
0.100000,8.040247,5.778927,3.517608
0.100000,9.547793,8.040247,6.532700
0.100000,4.522639,3.768866,3.015092
0.100000,8.542762,6.532700,4.522639
0.100000,2.010062,4.773896,7.537731
0.100000,7.537731,3.768866,0.000000
0.100000,3.015092,1.507546,0.000000
0.100000,0.000000,1.758804,3.517608
0.100000,9.547793,6.532700,3.517608
0.100000,4.020123,2.512577,1.005031
0.100000,7.537731,3.768866,0.000000
0.100000,3.015092,1.507546,0.000000
0.100000,4.974542,4.477087,3.979633
0.100000,0.497454,3.482179,6.466904
0.100000,2.487271,4.228360,5.969450
0.100000,0.497454,5.471996,10.446537
0.100000,11.441445,5.720723,0.000000
0.100000,7.461812,3.730906,0.000000
0.100000,7.959266,7.461812,6.964358
0.100000,0.000000,1.492362,2.984725
0.100000,0.000000,3.979633,7.959266
0.100000,4.477087,4.974542,5.471996
0.100000,5.969450,6.218177,6.466904
0.100000,6.466904,6.466904,6.466904
0.100000,-0.994908,1.989817,4.974542
0.100000,8.954175,8.705448,8.456721
0.100000,3.482179,5.471996,7.461812
0.100000,1.492362,3.482179,5.471996
0.100000,8.954175,7.710539,6.466904
0.100000,10.943991,9.700356,8.456721
0.100000,-1.989817,2.238544,6.466904
0.100000,5.969450,6.964358,7.959266
0.100000,4.477087,3.233452,1.989817
0.100000,3.979633,5.223269,6.466904
0.100000,9.451629,4.477087,-0.497454
0.100000,-0.994908,1.243635,3.482179
0.100000,3.482179,6.964358,10.446537
0.100000,0.994908,2.735998,4.477087
0.100000,-2.487271,-1.243635,0.000000
0.100000,3.482179,4.228360,4.974542
0.100000,4.974542,5.223269,5.471996
0.100000,2.984725,3.730906,4.477087
0.100000,2.487271,3.233452,3.979633
0.100000,8.456721,8.456721,8.456721
0.100000,0.000000,3.730906,7.461812
0.100000,5.471996,5.223269,4.974542
0.100000,12.436354,7.710539,2.984725
0.100000,9.451629,6.715631,3.979633
0.100000,6.964358,6.964358,6.964358
0.100000,10.943991,7.959266,4.974542
0.100000,9.949083,9.949083,9.949083
0.100000,2.984725,5.969450,8.954175
0.100000,8.954175,6.715631,4.477087
0.100000,2.984725,4.477087,5.969450
0.100000,0.000000,2.487271,4.974542
0.100000,2.487271,4.228360,5.969450
0.100000,3.482179,5.720723,7.959266
0.100000,12.436354,6.964358,1.492362
0.100000,8.954175,6.964358,4.974542
0.100000,8.456721,7.959266,7.461812
0.100000,0.000000,3.233452,6.466904
0.100000,3.979633,4.477087,4.974542
0.100000,1.989817,4.725814,7.461812
0.100000,9.949083,7.461812,4.974542
0.100000,7.959266,3.979633,0.000000
0.100000,4.477087,2.238544,0.000000
0.100000,0.000000,2.487271,4.974542
0.100000,0.000000,3.233452,6.466904
0.100000,7.461812,6.964358,6.466904
0.100000,0.000000,4.228360,8.456721
0.100000,9.451629,10.197810,10.943991
0.100000,4.974542,5.471996,5.969450
0.100000,0.497454,2.984725,5.471996
0.100000,0.000000,0.746181,1.492362
0.100000,13.928716,9.202902,4.477087
0.100000,0.994908,0.746181,0.497454
0.100000,5.969450,5.471996,4.974542
0.100000,9.451629,5.969450,2.487271
0.100000,10.943991,6.466904,1.989817
0.100000,0.000000,1.243635,2.487271
0.100000,3.482179,4.725814,5.969450
0.100000,10.943991,10.197810,9.451629
0.100000,5.969450,5.223269,4.477087
0.100000,3.979633,4.477087,4.974542
0.100000,1.492362,3.482179,5.471996
0.100000,9.949083,6.964358,3.979633
0.100000,5.471996,5.471996,5.471996
0.100000,5.471996,3.482179,1.492362
0.100000,-8.456721,-3.979633,0.497454
0.100000,3.979633,5.969450,7.959266
0.100000,-0.994908,1.243635,3.482179
0.100000,-3.482179,-1.741090,0.000000
0.100000,7.959266,7.213085,6.466904
0.100000,8.954175,6.964358,4.974542
0.100000,4.974542,2.735998,0.497454
0.100000,4.974542,2.487271,0.000000
0.100000,9.949083,5.223269,0.497454
0.100000,7.530145,7.028136,6.526126
0.100000,4.016078,5.522107,7.028136
0.100000,1.506029,4.016078,6.526126
0.100000,13.554262,9.538184,5.522107
0.100000,6.526126,6.275121,6.024116
0.100000,8.032155,4.016078,0.000000
0.100000,8.534165,7.530145,6.526126
0.100000,-8.534165,-2.008039,4.518087
0.100000,5.522107,5.773111,6.024116
0.100000,10.040194,7.530145,5.020097
0.100000,3.012058,4.267082,5.522107
0.100000,5.522107,6.275121,7.028136
0.100000,0.000000,4.016078,8.032155
0.100000,5.522107,5.271102,5.020097
0.100000,6.526126,7.530145,8.534165
0.100000,7.028136,6.275121,5.522107
0.100000,14.558281,11.044213,7.530145
0.100000,10.040194,7.781150,5.522107
0.100000,0.000000,0.502010,1.004019
0.100000,5.522107,4.769092,4.016078
0.100000,0.000000,3.765073,7.530145
0.100000,-2.510048,3.012058,8.534165
0.100000,0.000000,4.267082,8.534165
0.100000,9.538184,9.287179,9.036175
0.100000,3.012058,5.773111,8.534165
0.100000,12.048233,10.793208,9.538184
0.100000,1.506029,4.267082,7.028136
0.100000,0.502010,3.514068,6.526126
0.100000,0.000000,4.267082,8.534165
0.100000,6.526126,7.028136,7.530145
0.100000,7.530145,6.275121,5.020097
0.100000,4.518087,5.522107,6.526126
0.100000,2.008039,4.016078,6.024116
0.100000,2.510048,3.514068,4.518087
0.100000,5.522107,6.024116,6.526126
0.100000,8.534165,7.028136,5.522107
0.100000,1.004019,5.020097,9.036175
0.100000,6.526126,6.777131,7.028136
0.100000,3.012058,4.016078,5.020097
0.100000,6.024116,5.522107,5.020097
0.100000,0.000000,1.757034,3.514068
0.100000,8.534165,6.526126,4.518087
0.100000,1.506029,4.769092,8.032155
0.100000,7.028136,7.028136,7.028136
0.100000,2.008039,3.012058,4.016078
0.100000,12.550242,7.279141,2.008039
0.100000,3.514068,4.518087,5.522107
0.100000,4.016078,6.024116,8.032155
0.100000,8.032155,6.526126,5.020097
0.100000,4.518087,4.769092,5.020097
0.100000,3.514068,1.757034,0.000000
0.100000,2.008039,3.514068,5.020097
