cap,bottom,center,top
0.000000,-3.733145,-3.007255,-2.281366
0.000000,-2.903557,-2.592462,-2.281366
0.000000,-0.622191,-1.244382,-1.866572
0.000000,-1.690534,-1.901850,-2.113167
0.000000,-2.535800,-2.430142,-2.324484
0.000000,-2.643982,-2.643982,-2.643982
0.000000,-0.566568,-2.171842,-3.777117
0.000000,-0.188856,-1.227563,-2.266270
0.000000,-0.755423,-3.588261,-6.421099
0.000000,-2.065849,-161.962532,-321.859214
0.000000,-1.859264,-398.192321,-794.525378
0.000000,-2.892188,-2.375726,-1.859264
0.000000,-2.484586,-3.416306,-4.348026
0.000000,1.035244,-0.724671,-2.484586
0.000000,0.621147,-0.621147,-1.863440
