cap,bottom,center,top
0.500000,0.000000,3.816858,7.633716
0.500000,4.771073,7.156609,9.542145
0.500000,0.000000,-0.477107,-0.954215
0.500000,-3.816858,1.431322,6.679502
0.500000,10.496360,7.633716,4.771073
0.500000,15.267433,9.542145,3.816858
0.500000,-1.908429,2.385536,6.679502
0.500000,15.267433,9.542145,3.816858
0.500000,0.000000,3.339751,6.679502
0.500000,8.587931,6.679502,4.771073
0.500000,0.000000,1.908429,3.816858
0.500000,-3.816858,2.862644,9.542145
0.500000,4.771073,6.202395,7.633716
0.500000,-3.816858,0.954215,5.725287
0.500000,0.000000,4.293965,8.587931
0.500000,-2.862644,0.000000,2.862644
0.500000,17.175862,10.973467,4.771073
0.500000,-4.771073,0.477107,5.725287
0.500000,-4.771073,0.477107,5.725287
0.500000,0.000000,3.339751,6.679502
0.500000,0.000000,5.248180,10.496360
0.500000,-3.816858,0.477107,4.771073
0.500000,-2.862644,0.477107,3.816858
0.500000,8.587931,7.633716,6.679502
0.500000,3.816858,5.248180,6.679502
0.500000,-3.816858,-2.385536,-0.954215
0.500000,-3.816858,3.339751,10.496360
0.500000,9.542145,7.156609,4.771073
0.500000,0.000000,-1.431322,-2.862644
0.500000,-0.954215,1.431322,3.816858
0.500000,-1.908429,-0.954215,0.000000
0.500000,15.267433,10.019253,4.771073
0.500000,0.000000,4.293965,8.587931
0.500000,11.450575,6.202395,0.954215
0.500000,7.633716,4.293965,0.954215
0.500000,0.000000,3.816858,7.633716
0.500000,0.000000,2.862644,5.725287
0.500000,2.862644,1.431322,0.000000
0.500000,0.000000,0.000000,0.000000
0.500000,6.679502,7.156609,7.633716
0.500000,7.633716,3.816858,0.000000
0.500000,1.908429,0.954215,0.000000
0.500000,4.771073,2.862644,0.954215
0.500000,5.725287,4.771073,3.816858
0.500000,-1.908429,-0.477107,0.954215
0.500000,8.587931,6.679502,4.771073
0.500000,-6.679502,-1.431322,3.816858
0.500000,0.000000,-1.431322,-2.862644
0.500000,15.267433,7.633716,0.000000
0.500000,8.587931,3.339751,-1.908429
0.500000,12.404789,6.202395,0.000000
0.500000,-1.995235,1.496426,4.988088
0.500000,-2.992853,3.491662,9.976176
0.500000,-5.985705,0.997618,7.980941
0.500000,2.992853,5.486897,7.980941
0.500000,14.964264,15.463072,15.961881
0.500000,-1.995235,3.491662,8.978558
0.500000,0.000000,2.992853,5.985705
0.500000,-2.992853,1.995235,6.983323
0.500000,19.952351,11.472602,2.992853
0.500000,5.985705,5.985705,5.985705
0.500000,-3.990470,0.000000,3.990470
0.500000,-2.992853,0.997618,4.988088
0.500000,1.995235,3.491662,4.988088
0.500000,6.983323,5.486897,3.990470
0.500000,3.990470,6.983323,9.976176
0.500000,1.995235,4.489279,6.983323
0.500000,11.971411,9.477367,6.983323
0.500000,3.990470,3.491662,2.992853
0.500000,-3.990470,-2.494044,-0.997618
0.500000,-0.997618,2.494044,5.985705
0.500000,15.961881,10.474985,4.988088
0.500000,-0.997618,1.995235,4.988088
0.500000,-1.995235,4.988088,11.971411
0.500000,-2.992853,2.494044,7.980941
0.500000,1.995235,1.995235,1.995235
0.500000,15.961881,10.973793,5.985705
0.500000,-0.997618,1.496426,3.990470
0.500000,5.985705,2.992853,0.000000
