cap,bottom,center,top
0.000000,-2.992873,-1.496436,0.000000
0.000000,1.496436,0.498812,-0.498812
0.000000,-0.997624,-0.748218,-0.498812
0.000000,-0.997624,-0.748218,-0.498812
0.000000,0.498812,0.249406,0.000000
0.000000,-0.997624,0.249406,1.496436
0.000000,-0.498812,-0.249406,0.000000
0.000000,-0.498812,0.498812,1.496436
0.000000,-1.496436,-0.498812,0.498812
0.000000,-0.997624,-0.249406,0.498812
0.000000,0.498812,-0.249406,-0.997624
0.000000,-1.995248,-0.748218,0.498812
0.000000,0.000000,-0.249406,-0.498812
0.000000,3.491685,1.496436,-0.498812
0.000000,-0.498812,-0.748218,-0.997624
0.000000,-0.997624,-0.498812,0.000000
0.000000,-2.992873,-1.745842,-0.498812
0.000000,2.992873,1.496436,0.000000
0.000000,-0.498812,0.000000,0.498812
0.000000,1.496436,0.748218,0.000000
0.000000,1.496436,0.997624,0.498812
0.000000,6.484558,3.242279,0.000000
0.000000,0.000000,0.249406,0.498812
0.000000,-1.995248,-0.997624,0.000000
0.000000,-0.498812,-0.249406,0.000000
0.000000,2.992873,1.496436,0.000000
0.000000,-0.997624,-0.249406,0.498812
0.000000,0.997624,0.748218,0.498812
0.000000,0.498812,0.498812,0.498812
0.000000,2.494061,0.997624,-0.498812
0.000000,-2.992873,-1.496436,0.000000
0.000000,-0.498812,0.249406,0.997624
0.000000,0.997624,0.249406,-0.498812
0.000000,1.496436,0.997624,0.498812
0.000000,0.997624,0.748218,0.498812
0.000000,-1.995248,-0.997624,0.000000
0.000000,-1.496436,-0.748218,0.000000
0.000000,-0.997624,-0.249406,0.498812
0.000000,-0.498812,-0.249406,0.000000
0.000000,1.995248,0.997624,0.000000
0.000000,1.496436,0.249406,-0.997624
0.000000,0.498812,0.249406,0.000000
0.000000,-1.496436,-0.997624,-0.498812
0.000000,1.995248,0.997624,0.000000
0.000000,0.000000,-0.249406,-0.498812
0.000000,0.000000,-0.498812,-0.997624
0.000000,-0.997624,0.249406,1.496436
0.000000,-2.992873,-1.496436,0.000000
0.000000,2.992873,1.496436,0.000000
0.000000,-1.995248,-1.247030,-0.498812
0.000000,0.997624,0.997624,0.997624
0.000000,-0.498812,0.000000,0.498812
0.000000,2.992873,1.745842,0.498812
0.000000,0.997624,0.498812,0.000000
0.000000,0.000000,-0.249406,-0.498812
0.000000,1.496436,0.748218,0.000000
0.000000,-0.997624,-0.498812,0.000000
0.000000,-1.496436,-1.247030,-0.997624
0.000000,-0.498812,-0.498812,-0.498812
0.000000,-0.498812,0.000000,0.498812
0.000000,1.496436,0.748218,0.000000
0.000000,0.000000,-0.249406,-0.498812
0.000000,-5.985745,-2.992873,0.000000
0.000000,-0.498812,-0.249406,0.000000
0.000000,1.496436,0.748218,0.000000
0.000000,-3.491685,-1.745842,0.000000
0.000000,1.995248,1.247030,0.498812
0.000000,-0.997624,-0.748218,-0.498812
0.000000,3.491685,1.995248,0.498812
0.000000,4.988121,2.244655,-0.498812
0.000000,-0.997624,-0.748218,-0.498812
