hyd,vel
0.000000,-2.204058
0.000000,-2.204058
0.000000,3.406272
0.000000,0.200369
0.000000,2.003689
0.000000,-0.400738
0.000000,-0.801476
0.000000,-2.604796
0.000000,-2.404427
0.000000,-0.400738
0.000000,2.003689
0.000000,0.000000
0.000000,1.803320
0.000000,0.000000
0.000000,-3.406272
0.000000,1.402583
0.000000,-3.205903
0.000000,-4.007379
0.000000,-0.601107
0.000000,1.202214
0.000000,-1.803320
0.000000,2.404427
0.000000,-1.803320
0.000000,0.601107
0.000000,2.814074
0.000000,0.000000
0.000000,-4.422116
0.000000,1.608042
0.000000,4.221111
0.000000,1.407037
0.000000,-1.407037
0.000000,-2.613069
0.000000,-0.402011
0.000000,1.809047
0.000000,1.407037
0.000000,1.809047
0.000000,2.211058
0.000000,0.000000
0.000000,-0.804021
0.000000,-0.402011
0.000000,2.211058
0.000000,2.211058
0.000000,-1.608042
0.000000,-0.201005
0.000000,3.216084
0.000000,-2.010053
0.000000,2.412063
0.000000,-1.781248
0.000000,-0.989582
0.000000,-1.385415
0.000000,0.197916
0.000000,0.593749
0.000000,2.770830
0.000000,3.760412
0.000000,-0.791666
0.000000,-0.197916
0.000000,-2.968746
0.000000,-2.770830
0.000000,-1.583331
0.000000,-1.187498
0.000000,-1.385415
0.000000,-3.166663
0.000000,-0.791666
0.000000,0.000000
0.000000,-1.385415
0.000000,0.593749
0.000000,-1.583331
0.000000,1.781248
0.000000,-1.781248
0.000000,0.791666
0.000000,-1.385415
0.000000,0.201060
0.000000,-0.402120
0.000000,0.402120
0.000000,0.402120
0.000000,1.005301
0.000000,1.206361
0.000000,1.608481
0.000000,2.814842
0.000000,-0.603181
0.000000,0.402120
0.000000,4.624384
0.000000,2.814842
0.000000,-1.608481
0.000000,0.603181
0.000000,0.603181
0.000000,-3.820143
0.000000,-0.804241
0.000000,0.402120
0.000000,-0.603181
0.000000,1.608481
0.000000,0.804241
0.000000,0.000000
0.000000,1.608481
0.000000,-0.804241
