cap,bottom,center,top
0.500000,8.209096,6.707432,5.205768
0.500000,6.407099,7.608430,8.809761
0.500000,4.404881,5.205768,6.006655
0.500000,0.600666,3.704104,6.807543
0.500000,4.004437,5.606212,7.207987
0.500000,4.805324,6.507210,8.209096
0.500000,2.402662,3.003328,3.603993
0.500000,14.816417,10.311425,5.806434
0.500000,2.002218,2.302551,2.602884
0.500000,4.004437,5.506101,7.007765
0.500000,9.410427,13.014420,16.618413
0.500000,11.612867,7.608430,3.603993
0.500000,5.405990,4.805324,4.204659
0.500000,5.005546,5.606212,6.206877
0.500000,0.800887,3.303661,5.806434
0.500000,2.202440,3.303661,4.404881
0.500000,6.206877,5.005546,3.804215
0.500000,4.204659,4.705213,5.205768
0.500000,2.202440,2.602884,3.003328
0.500000,4.404881,4.304770,4.204659
0.500000,7.207987,5.305879,3.403771
0.500000,4.404881,5.506101,6.607321
0.500000,6.607321,5.906545,5.205768
0.500000,4.404881,9.710760,15.016639
0.500000,3.203550,6.006655,8.809761
0.500000,7.608430,5.205768,2.803106
0.500000,6.607321,5.706323,4.805324
0.500000,6.607321,5.706323,4.805324
0.500000,5.005546,5.906545,6.807543
0.500000,3.203550,4.104548,5.005546
0.500000,6.206877,5.706323,5.205768
0.500000,4.605103,4.805324,5.005546
0.500000,1.201331,3.403771,5.606212
0.500000,3.403771,3.203550,3.003328
0.500000,4.204659,5.105657,6.006655
0.500000,2.002218,5.606212,9.210205
0.500000,5.205768,4.605103,4.004437
0.500000,6.607321,5.706323,4.805324
0.500000,4.805324,4.504992,4.204659
0.500000,4.204659,6.206877,8.209096
0.500000,5.405990,4.104548,2.803106
0.500000,2.002218,3.503882,5.005546
0.500000,5.005546,5.806434,6.607321
0.500000,0.000000,3.003328,6.006655
0.500000,4.004437,4.504992,5.005546
0.500000,5.806434,3.904326,2.002218
0.500000,7.808652,6.607321,5.405990
0.500000,0.800887,2.702995,4.605103
0.500000,5.205768,3.203550,1.201331
0.500000,4.204659,4.605103,5.005546
0.500000,7.207987,10.111203,13.014420
0.500000,6.206877,8.108985,10.011092
0.500000,6.206877,5.506101,4.805324
0.500000,2.202440,4.104548,6.006655
0.500000,2.202440,3.603993,5.005546
0.500000,7.408208,6.507210,5.606212
0.500000,5.405990,4.705213,4.004437
0.500000,5.005546,5.706323,6.407099
0.500000,6.807543,7.808652,8.809761
0.500000,3.403771,4.504992,5.606212
0.500000,2.803106,3.503882,4.204659
0.500000,5.405990,6.006655,6.607321
0.500000,4.805324,6.407099,8.008874
0.500000,8.809761,5.506101,2.202440
0.500000,6.607321,5.906545,5.205768
0.500000,5.005546,5.305879,5.606212
0.500000,6.407099,6.006655,5.606212
0.500000,0.800887,3.403771,6.006655
0.500000,7.608430,5.806434,4.004437
0.500000,3.403771,5.506101,7.608430
0.500000,9.210205,9.710760,10.211314
0.500000,6.607321,5.706323,4.805324
0.500000,7.207987,4.504992,1.801997
0.500000,10.611758,8.709650,6.807543
0.500000,2.402662,3.203550,4.004437
0.500000,2.002218,2.202440,2.402662
0.500000,4.805324,8.008874,11.212424
0.500000,6.006655,5.506101,5.005546
0.500000,1.201331,2.702995,4.204659
0.500000,2.402662,4.004437,5.606212
0.500000,6.206877,6.106766,6.006655
0.500000,4.004437,2.803106,1.601775
0.500000,1.801997,3.203550,4.605103
0.500000,5.005546,5.606212,6.206877
0.500000,14.816417,10.411536,6.006655
0.500000,6.607321,6.807543,7.007765
0.500000,4.805324,5.405990,6.006655
0.500000,6.407099,5.606212,4.805324
0.500000,7.007765,6.907654,6.807543
0.500000,6.006655,6.907654,7.808652
0.500000,5.205768,6.206877,7.207987
0.500000,5.005546,5.005546,5.005546
0.500000,6.206877,5.606212,5.005546
0.500000,8.209096,15.216860,22.224625
0.500000,6.206877,4.705213,3.203550
0.500000,7.207987,7.007765,6.807543
0.500000,7.608430,5.806434,4.004437
0.500000,7.808652,6.006655,4.204659
0.500000,8.609539,22.524958,36.440376
0.500000,8.008874,7.808652,7.608430
0.500000,4.004437,3.303661,2.602884
0.500000,2.402662,3.804215,5.205768
0.500000,3.003328,4.805324,6.607321
0.500000,4.805324,5.105657,5.405990
0.500000,19.221297,11.212424,3.203550
0.500000,16.818635,11.712978,6.607321
0.500000,6.006655,3.804215,1.601775
0.500000,7.207987,5.606212,4.004437
0.500000,11.212424,9.110094,7.007765
0.500000,4.204659,4.004437,3.804215
0.500000,3.804215,4.705213,5.606212
0.500000,9.610649,6.206877,2.803106
0.500000,4.004437,3.003328,2.002218
0.500000,1.401553,3.804215,6.206877
0.500000,6.607321,6.106766,5.606212
0.500000,5.205768,5.105657,5.005546
0.500000,0.800887,3.003328,5.205768
0.500000,7.207987,6.907654,6.607321
0.500000,1.801997,4.204659,6.607321
0.500000,7.207987,6.106766,5.005546
0.500000,7.007765,9.110094,11.212424
0.500000,3.603993,6.006655,8.409318
0.500000,5.606212,5.906545,6.206877
0.500000,5.405990,5.305879,5.205768
0.500000,3.003328,5.105657,7.207987
0.500000,5.205768,5.806434,6.407099
0.500000,4.204659,3.804215,3.403771
0.500000,5.606212,8.809761,12.013311
0.500000,1.001109,3.303661,5.606212
0.500000,3.603993,5.105657,6.607321
0.500000,0.000000,4.104548,8.209096
0.500000,6.607321,6.106766,5.606212
0.500000,4.004437,10.611758,17.219079
